# time step,ucb true rewards,random true rewards
1.0,10.030000,10.000000
2.0,9.960000,9.999300
3.0,9.913300,9.998600
4.0,9.897500,9.998100
5.0,9.966000,9.997600
6.0,9.971700,9.997200
7.0,9.967100,9.996900
8.0,9.935000,9.996600
9.0,9.963300,9.996300
10.0,9.955000,9.996000
11.0,9.960000,9.995700
12.0,10.004200,9.995500
13.0,10.003100,9.995300
14.0,10.004300,9.995100
15.0,9.989300,9.994900
16.0,9.991900,9.994800
17.0,9.986500,9.994700
18.0,9.996100,9.994500
19.0,9.995300,9.994400
20.0,9.984500,9.994300
21.0,10.000500,9.994100
22.0,9.991400,9.994000
23.0,10.004800,9.993900
24.0,10.007500,9.993800
25.0,10.006000,9.993700
26.0,10.008100,9.993700
27.0,10.013300,9.993600
28.0,10.031400,9.993500
29.0,10.031700,9.993400
30.0,10.008000,9.993400
31.0,10.017400,9.993300
32.0,10.009100,9.993200
33.0,10.017600,9.993200
34.0,10.019700,9.993100
35.0,10.028000,9.993100
36.0,10.025600,9.993000
37.0,10.018600,9.993000
38.0,10.006100,9.992900
39.0,10.010500,9.992900
40.0,10.011300,9.992800
41.0,10.009500,9.992800
42.0,10.011400,9.992700
43.0,10.004900,9.992700
44.0,10.000700,9.992600
45.0,10.006000,9.992600
46.0,10.009600,9.992500
47.0,10.014500,9.992500
48.0,10.015000,9.992500
49.0,10.009400,9.992400
50.0,10.008200,9.992400
51.0,10.012200,9.992400
52.0,10.005000,9.992400
53.0,10.006600,9.992300
54.0,10.009800,9.992300
55.0,10.011100,9.992300
56.0,10.012900,9.992200
57.0,10.016000,9.992200
58.0,10.023300,9.992200
59.0,10.025300,9.992200
60.0,10.024300,9.992100
61.0,10.017200,9.992100
62.0,10.015500,9.992100
63.0,10.009400,9.992100
64.0,10.009700,9.992000
65.0,10.006800,9.992000
66.0,10.008900,9.992000
67.0,10.014000,9.992000
68.0,10.018100,9.992000
69.0,10.019600,9.991900
70.0,10.023000,9.991900
71.0,10.022800,9.991900
72.0,10.020800,9.991900
73.0,10.021400,9.991900
74.0,10.021500,9.991800
75.0,10.028400,9.991800
76.0,10.030400,9.991800
77.0,10.029100,9.991800
78.0,10.030000,9.991800
79.0,10.029200,9.991700
80.0,10.029300,9.991700
81.0,10.024600,9.991700
82.0,10.022700,9.991700
83.0,10.019300,9.991700
84.0,10.015500,9.991700
85.0,10.016000,9.991700
86.0,10.018100,9.991600
87.0,10.021700,9.991600
88.0,10.018100,9.991600
89.0,10.017800,9.991600
90.0,10.018300,9.991600
91.0,10.017000,9.991600
92.0,10.017800,9.991600
93.0,10.016300,9.991500
94.0,10.015100,9.991500
95.0,10.012400,9.991500
96.0,10.011600,9.991500
97.0,10.011200,9.991500
98.0,10.014300,9.991500
99.0,10.012100,9.991500
100.0,10.009800,9.991500
101.0,10.010100,9.991500
102.0,10.007100,9.991400
103.0,10.006500,9.991400
104.0,10.005100,9.991400
105.0,10.001800,9.991400
106.0,10.000800,9.991400
107.0,10.002600,9.991400
108.0,10.000700,9.991400
109.0,9.996500,9.991400
110.0,9.999100,9.991400
111.0,10.000800,9.991400
112.0,10.000400,9.991400
113.0,10.001900,9.991400
114.0,10.003000,9.991300
115.0,10.004700,9.991300
116.0,10.003900,9.991300
117.0,10.004500,9.991300
118.0,10.004100,9.991300
119.0,10.005100,9.991300
120.0,10.002900,9.991300
121.0,10.004100,9.991300
122.0,10.005000,9.991300
123.0,10.004000,9.991300
124.0,10.006000,9.991300
125.0,10.005400,9.991300
126.0,10.004300,9.991300
127.0,10.002300,9.991300
128.0,10.001100,9.991300
129.0,10.002400,9.991200
130.0,10.000800,9.991200
131.0,10.000200,9.991200
132.0,10.000200,9.991200
133.0,10.003300,9.991200
134.0,10.003900,9.991200
135.0,10.004700,9.991200
136.0,10.003800,9.991200
137.0,10.005800,9.991200
138.0,10.005800,9.991200
139.0,10.005000,9.991200
140.0,10.006600,9.991200
141.0,10.006900,9.991200
142.0,10.006300,9.991200
143.0,10.006700,9.991200
144.0,10.005600,9.991200
145.0,10.006800,9.991200
146.0,10.008200,9.991200
147.0,10.009000,9.991200
148.0,10.011400,9.991200
149.0,10.011600,9.991200
150.0,10.009700,9.991200
151.0,10.009200,9.991100
152.0,10.009400,9.991100
153.0,10.010700,9.991100
154.0,10.009300,9.991100
155.0,10.011200,9.991100
156.0,10.010400,9.991100
157.0,10.009900,9.991100
158.0,10.009800,9.991100
159.0,10.007100,9.991100
160.0,10.005800,9.991100
161.0,10.007800,9.991100
162.0,10.005900,9.991100
163.0,10.005800,9.991100
164.0,10.005100,9.991100
165.0,10.008000,9.991100
166.0,10.010900,9.991100
167.0,10.010100,9.991100
168.0,10.008900,9.991100
169.0,10.009500,9.991100
170.0,10.010900,9.991100
171.0,10.011800,9.991100
172.0,10.011100,9.991100
173.0,10.009400,9.991100
174.0,10.006600,9.991100
175.0,10.006400,9.991000
176.0,10.004900,9.991000
177.0,10.002200,9.991000
178.0,10.000300,9.991000
179.0,10.001000,9.991000
180.0,10.001400,9.991000
181.0,10.002200,9.991000
182.0,10.000700,9.991000
183.0,10.000000,9.991000
184.0,10.001200,9.991000
185.0,10.003000,9.991000
186.0,10.002700,9.991000
187.0,10.003700,9.991000
188.0,10.004200,9.991000
189.0,10.005800,9.991000
190.0,10.006100,9.991000
191.0,10.005800,9.991000
192.0,10.008600,9.991000
193.0,10.007300,9.991000
194.0,10.007600,9.991000
195.0,10.006800,9.991000
196.0,10.007100,9.991000
197.0,10.003700,9.991000
198.0,10.003400,9.991000
199.0,10.003000,9.991000
200.0,10.001300,9.991000
201.0,10.003900,9.991000
202.0,10.004000,9.991000
203.0,10.003400,9.991000
204.0,10.002000,9.991000
205.0,10.002200,9.991000
206.0,10.001900,9.991000
207.0,10.001800,9.991000
208.0,9.999800,9.991000
209.0,10.001100,9.991000
210.0,10.001500,9.990900
211.0,9.999700,9.990900
212.0,9.999300,9.990900
213.0,9.998000,9.990900
214.0,9.997000,9.990900
215.0,9.997900,9.990900
216.0,9.997900,9.990900
217.0,9.997000,9.990900
218.0,9.995800,9.990900
219.0,9.995100,9.990900
220.0,9.995700,9.990900
221.0,9.996400,9.990900
222.0,9.995200,9.990900
223.0,9.994300,9.990900
224.0,9.994300,9.990900
225.0,9.995200,9.990900
226.0,9.994400,9.990900
227.0,9.994100,9.990900
228.0,9.994200,9.990900
229.0,9.994300,9.990900
230.0,9.994800,9.990900
231.0,9.996200,9.990900
232.0,9.995300,9.990900
233.0,9.993900,9.990900
234.0,9.993100,9.990900
235.0,9.992400,9.990900
236.0,9.991000,9.990900
237.0,9.991500,9.990900
238.0,9.991300,9.990900
239.0,9.992400,9.990900
240.0,9.991800,9.990900
241.0,9.991800,9.990900
242.0,9.991200,9.990900
243.0,9.992000,9.990900
244.0,9.991400,9.990900
245.0,9.992400,9.990900
246.0,9.992400,9.990900
247.0,9.991400,9.990900
248.0,9.991900,9.990900
249.0,9.992200,9.990900
250.0,9.992200,9.990900
251.0,9.993100,9.990900
252.0,9.992500,9.990900
253.0,9.990900,9.990900
254.0,9.990800,9.990900
255.0,9.990700,9.990900
256.0,9.992000,9.990900
257.0,9.990700,9.990900
258.0,9.990700,9.990800
259.0,9.991100,9.990800
260.0,9.991100,9.990800
261.0,9.990200,9.990800
262.0,9.991300,9.990800
263.0,9.991500,9.990800
264.0,9.990700,9.990800
265.0,9.989900,9.990800
266.0,9.991700,9.990800
267.0,9.991600,9.990800
268.0,9.992600,9.990800
269.0,9.992900,9.990800
270.0,9.991800,9.990800
271.0,9.991400,9.990800
