# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,6.000000,1.000000,0.150000
2.0,13.000000,0.500000,0.185000
3.0,15.333300,0.333300,0.190000
4.0,16.500000,0.250000,0.205000
5.0,17.200000,0.200000,0.206000
6.0,15.333300,0.333300,0.208300
7.0,16.000000,0.285700,0.202900
8.0,16.500000,0.250000,0.197500
9.0,16.888900,0.222200,0.200000
10.0,15.800000,0.300000,0.199000
11.0,16.181800,0.272700,0.201800
12.0,16.500000,0.250000,0.200000
13.0,15.692300,0.307700,0.201500
14.0,16.000000,0.285700,0.203600
15.0,16.266700,0.266700,0.204000
16.0,15.500000,0.312500,0.203700
17.0,15.764700,0.294100,0.198200
18.0,15.222200,0.333300,0.200000
19.0,14.736800,0.368400,0.198400
20.0,15.000000,0.350000,0.198500
21.0,15.238100,0.333300,0.199000
22.0,14.818200,0.363600,0.197300
23.0,15.043500,0.347800,0.197000
24.0,14.666700,0.375000,0.198700
25.0,14.880000,0.360000,0.198000
26.0,14.538500,0.384600,0.198500
27.0,14.740700,0.370400,0.197400
28.0,14.928600,0.357100,0.195700
29.0,15.103400,0.344800,0.194800
30.0,14.733300,0.366700,0.193700
31.0,14.903200,0.354800,0.194800
32.0,14.625000,0.375000,0.194400
33.0,14.787900,0.363600,0.195500
34.0,14.470600,0.382400,0.195300
35.0,14.171400,0.400000,0.196300
36.0,13.944400,0.416700,0.196900
37.0,14.108100,0.405400,0.195900
38.0,13.842100,0.421100,0.194700
39.0,13.589700,0.435900,0.194900
40.0,13.400000,0.450000,0.193500
41.0,13.219500,0.463400,0.192400
42.0,13.047600,0.476200,0.194000
43.0,12.883700,0.488400,0.194900
44.0,12.727300,0.500000,0.195700
45.0,12.577800,0.511100,0.196400
46.0,12.434800,0.521700,0.196700
47.0,12.297900,0.531900,0.196400
48.0,12.166700,0.541700,0.195400
49.0,12.040800,0.551000,0.195300
50.0,11.920000,0.560000,0.195000
51.0,11.803900,0.568600,0.196100
52.0,11.692300,0.576900,0.195200
53.0,11.584900,0.584900,0.196400
54.0,11.481500,0.592600,0.195900
55.0,11.381800,0.600000,0.196000
56.0,11.285700,0.607100,0.195700
57.0,11.193000,0.614000,0.195100
58.0,11.103400,0.620700,0.194700
59.0,11.016900,0.627100,0.194700
60.0,10.933300,0.633300,0.194500
61.0,10.852500,0.639300,0.193600
62.0,10.774200,0.645200,0.194000
63.0,10.698400,0.650800,0.194800
64.0,10.625000,0.656200,0.194500
65.0,10.553800,0.661500,0.194600
66.0,10.484800,0.666700,0.195200
67.0,10.417900,0.671600,0.195500
68.0,10.352900,0.676500,0.195100
69.0,10.289900,0.681200,0.195700
70.0,10.228600,0.685700,0.196600
71.0,10.169000,0.690100,0.196800
72.0,10.111100,0.694400,0.197600
73.0,10.054800,0.698600,0.197800
74.0,10.000000,0.702700,0.196800
75.0,9.946700,0.706700,0.196400
76.0,9.894700,0.710500,0.195700
77.0,9.844200,0.714300,0.195700
78.0,9.794900,0.717900,0.195300
79.0,9.746800,0.721500,0.194700
80.0,9.700000,0.725000,0.193500
81.0,9.654300,0.728400,0.193600
82.0,9.609800,0.731700,0.193500
83.0,9.566300,0.734900,0.193700
84.0,9.523800,0.738100,0.194500
85.0,9.482400,0.741200,0.194200
86.0,9.441900,0.744200,0.194300
87.0,9.402300,0.747100,0.194400
88.0,9.363600,0.750000,0.195200
89.0,9.325800,0.752800,0.195600
90.0,9.288900,0.755600,0.195400
91.0,9.252700,0.758200,0.195100
92.0,9.217400,0.760900,0.194500
93.0,9.182800,0.763400,0.194300
94.0,9.148900,0.766000,0.194300
95.0,9.115800,0.768400,0.194800
96.0,9.083300,0.770800,0.194600
97.0,9.051500,0.773200,0.195700
98.0,9.020400,0.775500,0.196000
99.0,8.989900,0.777800,0.196000
100.0,8.960000,0.780000,0.195400
101.0,8.930700,0.782200,0.195200
102.0,8.902000,0.784300,0.195500
103.0,8.873800,0.786400,0.194900
104.0,8.846200,0.788500,0.194800
105.0,8.819000,0.790500,0.194900
106.0,8.792500,0.792500,0.195200
107.0,8.766400,0.794400,0.195000
108.0,8.740700,0.796300,0.194400
109.0,8.715600,0.798200,0.194700
110.0,8.690900,0.800000,0.195000
111.0,8.666700,0.801800,0.195400
112.0,8.642900,0.803600,0.196400
113.0,8.619500,0.805300,0.196500
114.0,8.596500,0.807000,0.196200
115.0,8.573900,0.808700,0.196800
116.0,8.551700,0.810300,0.196600
117.0,8.529900,0.812000,0.197100
118.0,8.508500,0.813600,0.197300
119.0,8.487400,0.815100,0.197500
120.0,8.466700,0.816700,0.197200
121.0,8.446300,0.818200,0.197800
122.0,8.426200,0.819700,0.197600
123.0,8.406500,0.821100,0.198000
124.0,8.387100,0.822600,0.198200
125.0,8.368000,0.824000,0.198200
126.0,8.349200,0.825400,0.198000
127.0,8.330700,0.826800,0.198400
128.0,8.312500,0.828100,0.198500
129.0,8.294600,0.829500,0.198600
130.0,8.276900,0.830800,0.198200
131.0,8.259500,0.832100,0.197900
132.0,8.242400,0.833300,0.198300
133.0,8.225600,0.834600,0.198300
134.0,8.209000,0.835800,0.198100
135.0,8.192600,0.837000,0.197900
136.0,8.176500,0.838200,0.197800
137.0,8.160600,0.839400,0.197900
138.0,8.144900,0.840600,0.198000
139.0,8.129500,0.841700,0.197800
140.0,8.114300,0.842900,0.197600
141.0,8.099300,0.844000,0.197000
142.0,8.084500,0.845100,0.196900
143.0,8.069900,0.846200,0.196900
144.0,8.055600,0.847200,0.196700
145.0,8.041400,0.848300,0.196900
146.0,8.027400,0.849300,0.197700
147.0,8.013600,0.850300,0.197600
148.0,8.000000,0.851400,0.197600
149.0,7.986600,0.852300,0.197600
150.0,7.973300,0.853300,0.197300
151.0,7.960300,0.854300,0.197500
152.0,7.947400,0.855300,0.198200
153.0,7.934600,0.856200,0.198600
154.0,7.922100,0.857100,0.198400
155.0,7.909700,0.858100,0.198500
156.0,7.897400,0.859000,0.198500
157.0,7.885400,0.859900,0.198900
158.0,7.873400,0.860800,0.198700
159.0,7.861600,0.861600,0.198700
160.0,7.850000,0.862500,0.199100
161.0,7.838500,0.863400,0.198900
162.0,7.827200,0.864200,0.199100
163.0,7.816000,0.865000,0.199300
164.0,7.804900,0.865900,0.199600
165.0,7.793900,0.866700,0.199600
166.0,7.783100,0.867500,0.199800
167.0,7.772500,0.868300,0.199700
168.0,7.761900,0.869000,0.199900
169.0,7.751500,0.869800,0.199600
170.0,7.741200,0.870600,0.199900
171.0,7.731000,0.871300,0.200100
172.0,7.720900,0.872100,0.200300
173.0,7.711000,0.872800,0.200100
174.0,7.701100,0.873600,0.199700
175.0,7.691400,0.874300,0.199800
176.0,7.681800,0.875000,0.199900
177.0,7.672300,0.875700,0.199700
178.0,7.662900,0.876400,0.199800
179.0,7.653600,0.877100,0.199800
180.0,7.644400,0.877800,0.200100
181.0,7.635400,0.878500,0.200100
182.0,7.626400,0.879100,0.200000
183.0,7.617500,0.879800,0.200200
184.0,7.608700,0.880400,0.200200
185.0,7.600000,0.881100,0.200200
186.0,7.591400,0.881700,0.200800
187.0,7.582900,0.882400,0.200900
188.0,7.574500,0.883000,0.201100
189.0,7.566100,0.883600,0.201200
190.0,7.557900,0.884200,0.201400
191.0,7.549700,0.884800,0.201400
192.0,7.541700,0.885400,0.201600
193.0,7.533700,0.886000,0.201100
194.0,7.525800,0.886600,0.201500
195.0,7.517900,0.887200,0.201400
196.0,7.510200,0.887800,0.201300
197.0,7.502500,0.888300,0.201500
198.0,7.494900,0.888900,0.201300
199.0,7.487400,0.889400,0.200900
200.0,7.480000,0.890000,0.200900
201.0,7.472600,0.890500,0.201300
202.0,7.465300,0.891100,0.201200
203.0,7.458100,0.891600,0.201100
204.0,7.451000,0.892200,0.201000
205.0,7.443900,0.892700,0.201100
206.0,7.436900,0.893200,0.201200
207.0,7.430000,0.893700,0.201100
208.0,7.423100,0.894200,0.200800
209.0,7.416300,0.894700,0.200600
210.0,7.409500,0.895200,0.200700
211.0,7.402800,0.895700,0.200700
212.0,7.396200,0.896200,0.200500
213.0,7.389700,0.896700,0.200500
214.0,7.383200,0.897200,0.200400
215.0,7.376700,0.897700,0.200100
216.0,7.370400,0.898100,0.200300
217.0,7.364100,0.898600,0.200300
218.0,7.357800,0.899100,0.200400
219.0,7.351600,0.899500,0.200300
220.0,7.345500,0.900000,0.200200
221.0,7.339400,0.900500,0.200000
222.0,7.333300,0.900900,0.200000
223.0,7.327400,0.901300,0.200300
224.0,7.321400,0.901800,0.200300
225.0,7.315600,0.902200,0.200300
226.0,7.309700,0.902700,0.200100
227.0,7.304000,0.903100,0.200000
228.0,7.298200,0.903500,0.200000
229.0,7.292600,0.903900,0.200100
230.0,7.287000,0.904300,0.200000
231.0,7.281400,0.904800,0.200100
232.0,7.275900,0.905200,0.199800
233.0,7.270400,0.905600,0.199500
234.0,7.265000,0.906000,0.199700
235.0,7.259600,0.906400,0.199600
236.0,7.254200,0.906800,0.199700
237.0,7.248900,0.907200,0.199800
238.0,7.243700,0.907600,0.199900
239.0,7.238500,0.907900,0.200000
240.0,7.233300,0.908300,0.200100
241.0,7.228200,0.908700,0.200100
242.0,7.223100,0.909100,0.200100
243.0,7.218100,0.909500,0.199800
244.0,7.213100,0.909800,0.200200
245.0,7.208200,0.910200,0.200000
246.0,7.203300,0.910600,0.200200
247.0,7.198400,0.910900,0.200100
248.0,7.193500,0.911300,0.200100
249.0,7.188800,0.911600,0.200100
250.0,7.184000,0.912000,0.200000
251.0,7.179300,0.912400,0.199900
252.0,7.174600,0.912700,0.200100
253.0,7.170000,0.913000,0.200000
254.0,7.165400,0.913400,0.199800
255.0,7.160800,0.913700,0.199800
256.0,7.156200,0.914100,0.199900
257.0,7.151800,0.914400,0.199700
258.0,7.147300,0.914700,0.199700
259.0,7.142900,0.915100,0.199700
260.0,7.138500,0.915400,0.199700
261.0,7.134100,0.915700,0.199900
262.0,7.129800,0.916000,0.199800
263.0,7.125500,0.916300,0.200000
264.0,7.121200,0.916700,0.200100
265.0,7.117000,0.917000,0.200200
266.0,7.112800,0.917300,0.200200
267.0,7.108600,0.917600,0.200200
268.0,7.104500,0.917900,0.200100
269.0,7.100400,0.918200,0.200300
270.0,7.096300,0.918500,0.200200
271.0,7.092300,0.918800,0.200300
272.0,7.088200,0.919100,0.200400
273.0,7.084200,0.919400,0.200600
274.0,7.080300,0.919700,0.200800
275.0,7.076400,0.920000,0.200900
276.0,7.072500,0.920300,0.200700
277.0,7.068600,0.920600,0.200700
278.0,7.064700,0.920900,0.200500
279.0,7.060900,0.921100,0.200700
280.0,7.057100,0.921400,0.200600
281.0,7.053400,0.921700,0.200800
282.0,7.049600,0.922000,0.200900
283.0,7.045900,0.922300,0.200800
284.0,7.042300,0.922500,0.200800
285.0,7.038600,0.922800,0.200500
286.0,7.035000,0.923100,0.200500
287.0,7.031400,0.923300,0.200700
288.0,7.027800,0.923600,0.200500
289.0,7.024200,0.923900,0.200300
290.0,7.020700,0.924100,0.200200
291.0,7.017200,0.924400,0.200300
292.0,7.013700,0.924700,0.200300
293.0,7.010200,0.924900,0.200300
294.0,7.006800,0.925200,0.200400
295.0,7.003400,0.925400,0.200400
296.0,7.000000,0.925700,0.200400
297.0,6.996600,0.925900,0.200400
298.0,6.993300,0.926200,0.200400
299.0,6.990000,0.926400,0.200500
300.0,6.986700,0.926700,0.200300
301.0,6.983400,0.926900,0.200200
302.0,6.980100,0.927200,0.200300
303.0,6.976900,0.927400,0.200300
304.0,6.973700,0.927600,0.200300
305.0,6.970500,0.927900,0.200200
306.0,6.967300,0.928100,0.200200
307.0,6.964200,0.928300,0.200100
308.0,6.961000,0.928600,0.200200
309.0,6.957900,0.928800,0.200100
310.0,6.954800,0.929000,0.200000
311.0,6.951800,0.929300,0.199900
312.0,6.948700,0.929500,0.199900
313.0,6.945700,0.929700,0.199900
314.0,6.942700,0.929900,0.199700
315.0,6.939700,0.930200,0.199900
316.0,6.936700,0.930400,0.199700
317.0,6.933800,0.930600,0.199700
318.0,6.930800,0.930800,0.199900
319.0,6.927900,0.931000,0.199900
320.0,6.925000,0.931300,0.199900
321.0,6.922100,0.931500,0.199800
322.0,6.919300,0.931700,0.199700
323.0,6.916400,0.931900,0.199800
324.0,6.913600,0.932100,0.200000
325.0,6.910800,0.932300,0.200100
326.0,6.908000,0.932500,0.200000
327.0,6.905200,0.932700,0.200100
328.0,6.902400,0.932900,0.200100
329.0,6.899700,0.933100,0.200200
330.0,6.897000,0.933300,0.200200
331.0,6.894300,0.933500,0.200500
332.0,6.891600,0.933700,0.200200
