# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,20.000000,0.000000,0.170000
2.0,20.000000,0.000000,0.190000
3.0,20.000000,0.000000,0.223300
4.0,20.000000,0.000000,0.207500
5.0,18.200000,0.200000,0.200000
6.0,18.500000,0.166700,0.201700
7.0,18.714300,0.142900,0.188600
8.0,18.875000,0.125000,0.188800
9.0,19.000000,0.111100,0.186700
10.0,19.100000,0.200000,0.187000
11.0,19.181800,0.181800,0.182700
12.0,19.250000,0.166700,0.182500
13.0,19.307700,0.153800,0.187700
14.0,19.357100,0.142900,0.182100
15.0,19.400000,0.200000,0.186700
16.0,19.437500,0.187500,0.186200
17.0,19.470600,0.176500,0.184700
18.0,19.500000,0.166700,0.187800
19.0,19.526300,0.210500,0.188400
20.0,19.550000,0.200000,0.193500
21.0,19.571400,0.190500,0.194800
22.0,19.590900,0.181800,0.196400
23.0,19.608700,0.173900,0.197800
24.0,19.625000,0.208300,0.199600
25.0,19.640000,0.200000,0.199600
26.0,19.653800,0.192300,0.198100
27.0,19.666700,0.185200,0.198100
28.0,19.678600,0.214300,0.200000
29.0,19.689700,0.206900,0.201700
30.0,19.700000,0.200000,0.201300
31.0,19.709700,0.193500,0.200000
32.0,19.718800,0.187500,0.199700
33.0,19.727300,0.212100,0.199700
34.0,19.735300,0.205900,0.199400
35.0,19.742900,0.200000,0.198300
36.0,19.750000,0.194400,0.198300
37.0,19.675700,0.216200,0.197800
38.0,19.684200,0.210500,0.196600
39.0,19.692300,0.205100,0.197200
40.0,19.700000,0.200000,0.198000
41.0,19.707300,0.195100,0.198800
42.0,19.714300,0.190500,0.199300
43.0,19.720900,0.186000,0.199500
44.0,19.590900,0.204500,0.199800
45.0,19.600000,0.200000,0.201300
46.0,19.608700,0.195700,0.202000
47.0,19.617000,0.191500,0.201900
48.0,19.625000,0.208300,0.201300
49.0,19.632700,0.204100,0.202400
50.0,19.640000,0.200000,0.203000
51.0,19.647100,0.196100,0.202000
52.0,19.653800,0.192300,0.201200
53.0,19.660400,0.207500,0.202600
54.0,19.666700,0.203700,0.202400
55.0,19.672700,0.200000,0.201600
56.0,19.678600,0.196400,0.202500
57.0,19.684200,0.210500,0.203000
58.0,19.689700,0.206900,0.202200
59.0,19.694900,0.203400,0.202900
60.0,19.700000,0.200000,0.202000
61.0,19.704900,0.196700,0.202100
62.0,19.709700,0.209700,0.201800
63.0,19.714300,0.206300,0.201400
64.0,19.718800,0.203100,0.201600
65.0,19.723100,0.200000,0.201400
66.0,19.727300,0.197000,0.201100
67.0,19.731300,0.209000,0.200700
68.0,19.735300,0.205900,0.201000
69.0,19.739100,0.202900,0.200900
70.0,19.742900,0.200000,0.201000
71.0,19.662000,0.211300,0.200000
72.0,19.666700,0.208300,0.199300
73.0,19.671200,0.205500,0.199000
74.0,19.675700,0.202700,0.199100
75.0,19.680000,0.200000,0.198300
76.0,19.684200,0.210500,0.198900
77.0,19.688300,0.207800,0.199200
