# time step,model 3 true rewards,random true rewards
1.0,10.000000,10.310000
2.0,9.731800,10.135000
3.0,9.487100,10.053300
4.0,9.260400,9.830000
5.0,9.049600,9.638000
6.0,8.852500,9.520000
7.0,8.666700,9.425700
8.0,8.490500,9.300000
9.0,8.323700,9.198900
10.0,8.164800,9.126000
11.0,8.014700,8.990000
12.0,7.871800,8.920800
13.0,7.736100,8.840000
14.0,7.607500,8.759300
15.0,7.483700,8.678700
16.0,7.365500,8.596900
17.0,7.251600,8.527600
18.0,7.142200,8.456100
19.0,7.037500,8.368400
20.0,6.937400,8.288000
21.0,6.840900,8.232900
22.0,6.748600,8.149500
23.0,6.659800,8.075200
24.0,6.574200,8.022900
25.0,6.492000,7.946400
26.0,6.412600,7.883500
27.0,6.335800,7.810700
28.0,6.261100,7.735700
29.0,6.188700,7.652800
30.0,6.118500,7.591700
31.0,6.050100,7.522600
32.0,5.983600,7.450000
33.0,5.919200,7.376400
34.0,5.856400,7.298800
35.0,5.795100,7.236300
36.0,5.735400,7.160300
37.0,5.677200,7.088400
38.0,5.620400,7.024200
39.0,5.565000,6.972600
40.0,5.511000,6.910800
41.0,5.458400,6.838000
42.0,5.406900,6.785200
43.0,5.356700,6.718100
44.0,5.307400,6.656800
45.0,5.259200,6.600000
46.0,5.212000,6.548700
47.0,5.165800,6.490200
48.0,5.120700,6.433500
49.0,5.076300,6.378200
50.0,5.032800,6.325400
51.0,4.990200,6.271400
52.0,4.948500,6.222700
53.0,4.907600,6.169800
54.0,4.867500,6.111100
55.0,4.828100,6.061800
56.0,4.789400,6.014100
57.0,4.751400,5.960900
58.0,4.714100,5.910000
59.0,4.677300,5.863200
60.0,4.641300,5.821500
61.0,4.605800,5.772500
62.0,4.570800,5.725000
63.0,4.536500,5.681100
64.0,4.502700,5.635600
65.0,4.469300,5.586000
66.0,4.436600,5.541700
67.0,4.404300,5.500000
68.0,4.372600,5.456300
69.0,4.341300,5.418000
70.0,4.310500,5.375600
71.0,4.280200,5.334100
72.0,4.250500,5.291400
73.0,4.221200,5.251600
74.0,4.192300,5.215900
75.0,4.163800,5.176100
76.0,4.135700,5.136700
77.0,4.108000,5.097700
78.0,4.080600,5.061300
79.0,4.053600,5.023500
80.0,4.027000,4.987800
81.0,4.000800,4.951600
82.0,3.975000,4.917200
83.0,3.949500,4.884500
84.0,3.924300,4.850600
85.0,3.899500,4.816600
86.0,3.875000,4.780800
87.0,3.850800,4.745300
88.0,3.827000,4.713100
89.0,3.803500,4.681800
90.0,3.780200,4.647900
91.0,3.757300,4.615500
92.0,3.734500,4.579900
93.0,3.712100,4.547000
94.0,3.690000,4.516000
95.0,3.668200,4.484500
96.0,3.646600,4.453400
97.0,3.625300,4.422300
98.0,3.604200,4.389200
99.0,3.583400,4.359800
100.0,3.562900,4.330500
101.0,3.542600,4.300200
102.0,3.522500,4.270500
103.0,3.502600,4.243000
104.0,3.483000,4.215100
105.0,3.463600,4.188400
106.0,3.444400,4.161900
107.0,3.425300,4.134700
108.0,3.406500,4.106400
109.0,3.387900,4.079500
110.0,3.369500,4.052500
111.0,3.351300,4.025700
112.0,3.333300,3.998200
113.0,3.315400,3.971600
114.0,3.297700,3.945400
115.0,3.280200,3.920700
116.0,3.262900,3.895500
117.0,3.245700,3.870300
118.0,3.228700,3.845500
119.0,3.211900,3.822300
120.0,3.195200,3.798500
121.0,3.178700,3.775000
122.0,3.162400,3.751100
123.0,3.146200,3.726800
124.0,3.130200,3.702700
125.0,3.114300,3.680600
126.0,3.098500,3.658000
127.0,3.082900,3.635100
128.0,3.067500,3.611800
129.0,3.052200,3.590200
130.0,3.037000,3.567200
131.0,3.022100,3.545800
132.0,3.007200,3.524400
133.0,2.992500,3.502000
134.0,2.977900,3.480900
135.0,2.963400,3.460600
136.0,2.949100,3.439900
137.0,2.934900,3.418800
138.0,2.920800,3.398500
139.0,2.906900,3.379100
140.0,2.893000,3.358400
141.0,2.879300,3.338900
