# time step,reward random diff model 3
1.0,0.310000
2.0,0.403200
3.0,0.566200
4.0,0.569600
5.0,0.588400
6.0,0.667500
7.0,0.759000
8.0,0.809500
9.0,0.875100
10.0,0.961200
11.0,0.975300
12.0,1.049000
13.0,1.103900
14.0,1.151800
15.0,1.195000
16.0,1.231400
17.0,1.276100
18.0,1.314000
19.0,1.330900
20.0,1.350600
21.0,1.391900
22.0,1.401000
23.0,1.415400
24.0,1.448700
25.0,1.454400
26.0,1.470900
27.0,1.475000
28.0,1.474600
29.0,1.464000
30.0,1.473200
31.0,1.472500
32.0,1.466400
33.0,1.457100
34.0,1.442400
35.0,1.441200
36.0,1.424900
37.0,1.411100
38.0,1.403800
39.0,1.407600
40.0,1.399700
41.0,1.379700
42.0,1.378300
43.0,1.361500
44.0,1.349400
45.0,1.340800
46.0,1.336700
47.0,1.324400
48.0,1.312900
49.0,1.301900
50.0,1.292600
51.0,1.281200
52.0,1.274200
53.0,1.262200
54.0,1.243600
55.0,1.233700
56.0,1.224700
57.0,1.209500
58.0,1.195900
59.0,1.185900
60.0,1.180200
61.0,1.166700
62.0,1.154200
63.0,1.144600
64.0,1.133000
65.0,1.116700
66.0,1.105100
67.0,1.095700
68.0,1.083800
69.0,1.076700
70.0,1.065100
71.0,1.053800
72.0,1.040900
73.0,1.030500
74.0,1.023700
75.0,1.012400
76.0,1.001000
77.0,0.989700
78.0,0.980700
79.0,0.969900
80.0,0.960700
81.0,0.950800
82.0,0.942200
83.0,0.935000
84.0,0.926300
85.0,0.917100
86.0,0.905800
87.0,0.894500
88.0,0.886100
89.0,0.878300
90.0,0.867700
91.0,0.858200
92.0,0.845300
93.0,0.834900
94.0,0.826000
95.0,0.816400
96.0,0.806800
97.0,0.797000
98.0,0.785000
99.0,0.776400
100.0,0.767600
101.0,0.757600
102.0,0.748000
103.0,0.740400
104.0,0.732100
105.0,0.724800
106.0,0.717500
107.0,0.709300
108.0,0.699900
109.0,0.691700
110.0,0.683000
111.0,0.674400
112.0,0.664900
113.0,0.656200
114.0,0.647700
115.0,0.640500
116.0,0.632600
117.0,0.624600
118.0,0.616800
119.0,0.610400
120.0,0.603300
121.0,0.596300
122.0,0.588700
123.0,0.580600
124.0,0.572600
125.0,0.566300
126.0,0.559500
127.0,0.552200
128.0,0.544300
129.0,0.538000
130.0,0.530100
131.0,0.523700
132.0,0.517200
133.0,0.509500
134.0,0.503000
135.0,0.497200
136.0,0.490800
137.0,0.483900
138.0,0.477700
139.0,0.472300
140.0,0.465300
141.0,0.459500
142.0,0.452900
143.0,0.447500
144.0,0.441900
145.0,0.436300
146.0,0.432300
147.0,0.426500
148.0,0.421100
149.0,0.415600
150.0,0.410200
151.0,0.404700
152.0,0.399100
153.0,0.393300
154.0,0.387700
155.0,0.383500
156.0,0.379100
