# time step,ucb true rewards,random true rewards
1.0,9.730000,10.000000
2.0,9.795000,9.764200
3.0,9.806700,9.547300
4.0,9.900000,9.358700
5.0,9.872000,9.189000
6.0,9.553300,9.031600
7.0,9.334300,8.884900
8.0,9.076200,8.748700
9.0,8.726700,8.618600
10.0,8.524000,8.496000
11.0,8.428200,8.379700
12.0,8.273300,8.267900
13.0,8.176900,8.160100
14.0,8.195000,8.056200
15.0,8.236700,7.955300
16.0,8.249400,7.857900
17.0,8.150000,7.762900
18.0,7.970000,7.670400
19.0,7.848400,7.580700
20.0,7.749500,7.493300
21.0,7.681400,7.407800
22.0,7.605000,7.324600
23.0,7.491700,7.244000
24.0,7.509600,7.165000
25.0,7.522000,7.088200
26.0,7.460400,7.013100
27.0,7.383700,6.939200
28.0,7.313900,6.866600
29.0,7.280700,6.795400
30.0,7.222700,6.725300
31.0,7.123500,6.656400
32.0,7.021600,6.588400
33.0,6.949100,6.521900
34.0,6.895000,6.456600
35.0,6.888300,6.392600
36.0,6.873600,6.329700
37.0,6.850300,6.268000
38.0,6.793700,6.207400
39.0,6.709000,6.147800
40.0,6.636800,6.089200
41.0,6.579300,6.031600
42.0,6.523600,5.974800
43.0,6.452100,5.919200
44.0,6.417300,5.864400
45.0,6.375100,5.810400
46.0,6.340400,5.757400
47.0,6.297700,5.705100
48.0,6.236700,5.653700
49.0,6.178600,5.603000
50.0,6.129600,5.553100
51.0,6.069800,5.503900
52.0,6.017500,5.455300
53.0,5.979200,5.407500
54.0,5.945900,5.360300
55.0,5.898200,5.313800
56.0,5.839300,5.268000
57.0,5.787200,5.222800
58.0,5.749700,5.178200
59.0,5.716900,5.134300
60.0,5.679000,5.090900
61.0,5.631500,5.048200
62.0,5.580600,5.006000
63.0,5.535600,4.964300
64.0,5.498100,4.923200
65.0,5.457700,4.882600
66.0,5.411400,4.842400
67.0,5.374300,4.802800
68.0,5.333400,4.763600
69.0,5.291200,4.725000
70.0,5.256900,4.686900
71.0,5.227000,4.649300
72.0,5.189200,4.612300
73.0,5.150800,4.575700
74.0,5.116800,4.539600
75.0,5.078800,4.504000
76.0,5.035100,4.468800
77.0,4.990800,4.434000
78.0,4.955800,4.399700
79.0,4.921600,4.365700
80.0,4.897100,4.332200
81.0,4.872700,4.299100
82.0,4.838800,4.266300
83.0,4.795500,4.234000
84.0,4.751500,4.202100
85.0,4.721900,4.170600
86.0,4.703300,4.139400
87.0,4.682900,4.108600
88.0,4.653000,4.078200
89.0,4.617900,4.048200
90.0,4.575600,4.018400
91.0,4.540000,3.989000
92.0,4.515500,3.960000
93.0,4.494900,3.931300
94.0,4.467900,3.902900
95.0,4.435900,3.874900
96.0,4.395600,3.847200
97.0,4.361100,3.819800
98.0,4.339600,3.792800
99.0,4.318500,3.766000
100.0,4.294400,3.739600
101.0,4.262300,3.713400
102.0,4.224000,3.687500
103.0,4.191500,3.661900
104.0,4.169600,3.636600
105.0,4.149100,3.611600
106.0,4.126300,3.586900
107.0,4.093400,3.562600
108.0,4.057700,3.538500
109.0,4.028800,3.514600
110.0,4.006800,3.491000
111.0,3.989500,3.467700
112.0,3.963600,3.444700
113.0,3.931900,3.421900
114.0,3.899800,3.399300
115.0,3.869300,3.377100
116.0,3.838400,3.355000
117.0,3.809700,3.333200
118.0,3.787200,3.311600
119.0,3.771300,3.290300
120.0,3.754800,3.269200
121.0,3.730600,3.248400
122.0,3.702000,3.227700
123.0,3.677000,3.207300
124.0,3.657900,3.187000
125.0,3.646400,3.167000
126.0,3.627300,3.147200
127.0,3.601300,3.127600
128.0,3.574500,3.108200
129.0,3.552500,3.089000
130.0,3.535100,3.070000
131.0,3.519000,3.051200
132.0,3.496100,3.032600
133.0,3.470600,3.014200
134.0,3.447000,2.995900
135.0,3.429000,2.977900
136.0,3.414800,2.960100
137.0,3.397100,2.942400
138.0,3.373300,2.924900
139.0,3.350600,2.907600
140.0,3.330100,2.890500
141.0,3.316500,2.873500
142.0,3.301700,2.856800
143.0,3.280500,2.840100
144.0,3.258100,2.823700
145.0,3.236800,2.807400
146.0,3.220800,2.791300
147.0,3.208000,2.775300
148.0,3.190300,2.759500
