# time step,model 3 true rewards,random true rewards
1.0,10.000000,9.770000
2.0,9.999100,9.865000
3.0,9.998400,9.850000
4.0,9.997800,9.992500
5.0,9.997200,9.902000
6.0,9.996600,9.888300
7.0,9.996100,9.938600
8.0,9.995500,9.972500
9.0,9.995000,9.955600
10.0,9.994500,9.977000
11.0,9.994000,10.004500
12.0,9.993500,10.035000
13.0,9.993100,10.016900
14.0,9.992600,9.999300
15.0,9.992200,10.006700
16.0,9.991800,9.998100
17.0,9.991300,9.996500
18.0,9.991000,9.998900
19.0,9.990600,9.985300
20.0,9.990200,9.985000
21.0,9.989900,9.982400
22.0,9.989600,9.986400
23.0,9.989200,9.981300
24.0,9.988900,9.964600
25.0,9.988600,9.972000
26.0,9.988300,9.972300
27.0,9.988000,9.971900
28.0,9.987800,9.967900
29.0,9.987500,9.964500
30.0,9.987300,9.962000
31.0,9.987000,9.951300
32.0,9.986800,9.965600
33.0,9.986500,9.971200
34.0,9.986300,9.966200
35.0,9.986100,9.958900
36.0,9.985900,9.960300
37.0,9.985700,9.959700
38.0,9.985500,9.964200
39.0,9.985300,9.960300
40.0,9.985100,9.963800
41.0,9.984900,9.960700
42.0,9.984800,9.967100
43.0,9.984600,9.967200
44.0,9.984500,9.967300
45.0,9.984300,9.965300
46.0,9.984100,9.966300
47.0,9.984000,9.960900
48.0,9.983900,9.957300
49.0,9.983700,9.958800
50.0,9.983600,9.963600
51.0,9.983500,9.953300
52.0,9.983300,9.953700
53.0,9.983200,9.951900
54.0,9.983100,9.954400
55.0,9.983000,9.951600
56.0,9.982900,9.954300
57.0,9.982800,9.958800
58.0,9.982700,9.961200
59.0,9.982600,9.966600
60.0,9.982500,9.964200
61.0,9.982400,9.964100
62.0,9.982300,9.965800
63.0,9.982200,9.970800
64.0,9.982100,9.975500
65.0,9.982000,9.973700
66.0,9.981900,9.970300
67.0,9.981800,9.973100
68.0,9.981700,9.974600
69.0,9.981700,9.975500
70.0,9.981600,9.980900
71.0,9.981500,9.980100
72.0,9.981400,9.989300
73.0,9.981400,9.989700
74.0,9.981300,9.994500
75.0,9.981200,9.999300
76.0,9.981100,10.002400
77.0,9.981000,10.006600
78.0,9.981000,10.007700
79.0,9.980900,10.007200
80.0,9.980800,10.011900
81.0,9.980700,10.012800
82.0,9.980700,10.014100
83.0,9.980600,10.012500
84.0,9.980500,10.008500
85.0,9.980400,10.007400
86.0,9.980400,10.007400
87.0,9.980300,10.005200
88.0,9.980200,10.009700
89.0,9.980100,10.007800
90.0,9.980100,9.999700
91.0,9.980000,10.000500
92.0,9.979900,10.000300
93.0,9.979800,10.005800
94.0,9.979800,10.008500
95.0,9.979700,10.008800
96.0,9.979600,10.011400
97.0,9.979600,10.011800
98.0,9.979500,10.009800
99.0,9.979400,10.009600
100.0,9.979400,10.007600
101.0,9.979300,10.003900
102.0,9.979200,10.005600
103.0,9.979200,10.006700
104.0,9.979100,10.008500
105.0,9.979100,10.011900
106.0,9.979000,10.011400
107.0,9.978900,10.013800
108.0,9.978900,10.011600
109.0,9.978800,10.012100
110.0,9.978800,10.012500
111.0,9.978700,10.017900
112.0,9.978600,10.015400
113.0,9.978600,10.015800
114.0,9.978500,10.017600
115.0,9.978500,10.019700
116.0,9.978400,10.018400
117.0,9.978400,10.015500
118.0,9.978300,10.012600
119.0,9.978300,10.013700
120.0,9.978200,10.010700
121.0,9.978200,10.007500
122.0,9.978100,10.007300
123.0,9.978100,10.006300
124.0,9.978000,10.007300
125.0,9.978000,10.010600
126.0,9.977900,10.013600
127.0,9.977900,10.014000
128.0,9.977800,10.014600
129.0,9.977800,10.014000
130.0,9.977700,10.012500
131.0,9.977700,10.012800
132.0,9.977600,10.012600
133.0,9.977600,10.012800
134.0,9.977500,10.011700
135.0,9.977500,10.013600
136.0,9.977400,10.013800
137.0,9.977400,10.015600
138.0,9.977400,10.016700
139.0,9.977300,10.017400
140.0,9.977300,10.016600
141.0,9.977200,10.016800
142.0,9.977200,10.018000
143.0,9.977200,10.019500
144.0,9.977100,10.020900
145.0,9.977100,10.022100
146.0,9.977000,10.021700
147.0,9.977000,10.018900
148.0,9.976900,10.016800
149.0,9.976900,10.016600
150.0,9.976900,10.013500
151.0,9.976800,10.014000
152.0,9.976800,10.015900
153.0,9.976800,10.017000
154.0,9.976700,10.017700
155.0,9.976700,10.016900
156.0,9.976600,10.018500
157.0,9.976600,10.018900
158.0,9.976600,10.018800
159.0,9.976500,10.018600
160.0,9.976500,10.017300
161.0,9.976500,10.018900
162.0,9.976400,10.017000
163.0,9.976400,10.018600
164.0,9.976300,10.019000
165.0,9.976300,10.018800
166.0,9.976300,10.018900
167.0,9.976200,10.016200
168.0,9.976200,10.016400
169.0,9.976200,10.015000
170.0,9.976200,10.014800
171.0,9.976100,10.013600
172.0,9.976100,10.012600
173.0,9.976100,10.015500
174.0,9.976000,10.015500
175.0,9.976000,10.013900
176.0,9.976000,10.012500
177.0,9.975900,10.011400
178.0,9.975900,10.011500
179.0,9.975900,10.011800
180.0,9.975900,10.011400
181.0,9.975800,10.011400
182.0,9.975800,10.013000
183.0,9.975800,10.013600
184.0,9.975700,10.009900
185.0,9.975700,10.011000
186.0,9.975700,10.011600
187.0,9.975600,10.012800
188.0,9.975600,10.013400
189.0,9.975600,10.012100
190.0,9.975600,10.011500
191.0,9.975500,10.010700
192.0,9.975500,10.012500
193.0,9.975500,10.010600
194.0,9.975400,10.011100
195.0,9.975400,10.012700
196.0,9.975400,10.011300
197.0,9.975300,10.011900
198.0,9.975300,10.014200
199.0,9.975300,10.014400
200.0,9.975200,10.014700
201.0,9.975200,10.015600
202.0,9.975200,10.016900
203.0,9.975100,10.016400
204.0,9.975100,10.016500
205.0,9.975100,10.016000
206.0,9.975100,10.017400
207.0,9.975000,10.016900
208.0,9.975000,10.017000
209.0,9.975000,10.017500
210.0,9.975000,10.017400
211.0,9.974900,10.018100
212.0,9.974900,10.016200
213.0,9.974900,10.016600
214.0,9.974900,10.016400
215.0,9.974900,10.017300
216.0,9.974800,10.018600
217.0,9.974800,10.017600
218.0,9.974800,10.018300
219.0,9.974800,10.018700
220.0,9.974700,10.019900
221.0,9.974700,10.020300
222.0,9.974700,10.020100
223.0,9.974700,10.020200
224.0,9.974600,10.021700
225.0,9.974600,10.022500
226.0,9.974600,10.022000
227.0,9.974600,10.020800
228.0,9.974500,10.020400
229.0,9.974500,10.018400
230.0,9.974500,10.019100
231.0,9.974500,10.018100
232.0,9.974400,10.018700
233.0,9.974400,10.019000
234.0,9.974400,10.018700
235.0,9.974400,10.018800
236.0,9.974400,10.019400
237.0,9.974300,10.019200
238.0,9.974300,10.019000
239.0,9.974300,10.019000
240.0,9.974300,10.017500
241.0,9.974200,10.018400
242.0,9.974200,10.018100
243.0,9.974200,10.018600
244.0,9.974200,10.017300
245.0,9.974100,10.016400
246.0,9.974100,10.017600
247.0,9.974100,10.019400
248.0,9.974100,10.019000
249.0,9.974000,10.019100
250.0,9.974000,10.019700
251.0,9.974000,10.018200
252.0,9.974000,10.018600
253.0,9.974000,10.017900
254.0,9.973900,10.018000
255.0,9.973900,10.017600
256.0,9.973900,10.016200
257.0,9.973900,10.015100
258.0,9.973800,10.016800
259.0,9.973800,10.015000
260.0,9.973800,10.015300
261.0,9.973800,10.014600
262.0,9.973800,10.014800
263.0,9.973800,10.014000
264.0,9.973700,10.013000
265.0,9.973700,10.013000
266.0,9.973700,10.013000
267.0,9.973700,10.012700
268.0,9.973700,10.013600
269.0,9.973700,10.013200
270.0,9.973700,10.012900
271.0,9.973600,10.012800
272.0,9.973600,10.011900
273.0,9.973600,10.012900
274.0,9.973600,10.013000
275.0,9.973600,10.012100
276.0,9.973600,10.012200
277.0,9.973600,10.012400
278.0,9.973600,10.012000
279.0,9.973600,10.010900
280.0,9.973600,10.010300
281.0,9.973500,10.009300
282.0,9.973500,10.010600
283.0,9.973500,10.010400
284.0,9.973500,10.011000
285.0,9.973500,10.011500
286.0,9.973500,10.011800
287.0,9.973500,10.013000
288.0,9.973500,10.012200
289.0,9.973500,10.011500
290.0,9.973500,10.011100
291.0,9.973400,10.010700
292.0,9.973400,10.009400
293.0,9.973400,10.010000
294.0,9.973400,10.009800
295.0,9.973400,10.010100
296.0,9.973400,10.010900
297.0,9.973400,10.010600
298.0,9.973400,10.009500
299.0,9.973400,10.009200
300.0,9.973300,10.008500
301.0,9.973300,10.008400
302.0,9.973300,10.008000
303.0,9.973300,10.009300
304.0,9.973300,10.009900
305.0,9.973300,10.009100
306.0,9.973300,10.010000
307.0,9.973300,10.010000
308.0,9.973300,10.009600
309.0,9.973200,10.010300
310.0,9.973200,10.010000
311.0,9.973200,10.009900
312.0,9.973200,10.010200
313.0,9.973200,10.010000
314.0,9.973200,10.010200
315.0,9.973200,10.011000
316.0,9.973200,10.011100
317.0,9.973200,10.009700
318.0,9.973200,10.010900
319.0,9.973200,10.010700
320.0,9.973200,10.010300
321.0,9.973200,10.011200
322.0,9.973100,10.011800
323.0,9.973100,10.011800
324.0,9.973100,10.011700
325.0,9.973100,10.012400
326.0,9.973100,10.011500
327.0,9.973100,10.011000
328.0,9.973100,10.010800
329.0,9.973100,10.011000
330.0,9.973100,10.011600
331.0,9.973100,10.011700
332.0,9.973100,10.011800
333.0,9.973100,10.010700
334.0,9.973100,10.010100
335.0,9.973000,10.009000
336.0,9.973000,10.009200
337.0,9.973000,10.008800
338.0,9.973000,10.008600
339.0,9.973000,10.008600
340.0,9.973000,10.009800
341.0,9.973000,10.008600
342.0,9.973000,10.009200
343.0,9.973000,10.008700
344.0,9.973000,10.009200
