# time step,rewards
1.0,12.500000
2.0,12.620000
3.0,12.596700
4.0,12.605000
5.0,12.658000
6.0,12.623300
7.0,12.627100
8.0,12.603700
9.0,12.591100
10.0,12.566000
11.0,12.570900
12.0,12.585800
13.0,12.550800
14.0,12.578600
15.0,12.621300
16.0,12.648700
17.0,12.658800
18.0,12.685600
19.0,12.704700
20.0,12.733000
21.0,12.760000
22.0,12.780000
23.0,12.795700
24.0,12.817900
25.0,12.838800
26.0,12.860400
27.0,12.888100
28.0,12.916800
29.0,12.934800
30.0,12.959700
31.0,12.972600
32.0,12.996600
33.0,13.010600
34.0,13.037400
35.0,13.063100
36.0,13.083300
37.0,13.102700
38.0,13.128400
39.0,13.154600
40.0,13.182500
41.0,13.203200
42.0,13.225200
43.0,13.254200
44.0,13.264100
45.0,13.284900
46.0,13.300900
47.0,13.316600
48.0,13.337500
49.0,13.356100
50.0,13.378400
51.0,13.400000
52.0,13.413800
53.0,13.428100
54.0,13.439400
55.0,13.460900
56.0,13.469300
57.0,13.491800
58.0,13.503600
59.0,13.515900
60.0,13.528800
61.0,13.550200
62.0,13.568500
63.0,13.577300
64.0,13.585000
65.0,13.599100
66.0,13.613500
67.0,13.632100
68.0,13.643200
69.0,13.655800
70.0,13.663600
71.0,13.677200
72.0,13.688200
73.0,13.704100
74.0,13.715800
75.0,13.723700
76.0,13.730000
77.0,13.741700
78.0,13.753300
79.0,13.764300
80.0,13.771100
81.0,13.774400
82.0,13.782200
83.0,13.789900
84.0,13.797600
85.0,13.809400
86.0,13.815800
87.0,13.825200
88.0,13.836600
89.0,13.842100
90.0,13.853800
91.0,13.862400
92.0,13.872300
93.0,13.878700
94.0,13.888000
95.0,13.896200
96.0,13.900000
97.0,13.905700
98.0,13.914000
99.0,13.917100
100.0,13.925200
101.0,13.933000
102.0,13.937200
103.0,13.943000
104.0,13.954400
105.0,13.961800
106.0,13.969800
107.0,13.979300
108.0,13.987000
109.0,13.988100
110.0,13.995500
111.0,14.003200
112.0,14.010400
113.0,14.020800
114.0,14.025100
115.0,14.031400
116.0,14.037300
117.0,14.041500
118.0,14.047000
119.0,14.049900
120.0,14.056100
121.0,14.062800
122.0,14.069800
123.0,14.077200
124.0,14.082900
125.0,14.086100
126.0,14.092700
127.0,14.096500
128.0,14.102600
129.0,14.108200
130.0,14.111100
131.0,14.115800
132.0,14.121000
133.0,14.126000
134.0,14.130100
135.0,14.133900
136.0,14.135700
137.0,14.139300
138.0,14.139900
139.0,14.144600
140.0,14.148400
141.0,14.154900
142.0,14.156000
143.0,14.162400
144.0,14.167800
145.0,14.172400
146.0,14.174800
147.0,14.180100
148.0,14.182200
149.0,14.186100
150.0,14.190700
151.0,14.194600
152.0,14.196900
153.0,14.199900
154.0,14.203100
155.0,14.206100
156.0,14.207900
157.0,14.211400
158.0,14.214900
159.0,14.218300
160.0,14.220700
161.0,14.225000
162.0,14.231900
163.0,14.235300
164.0,14.239000
165.0,14.243000
166.0,14.244900
167.0,14.248100
168.0,14.250100
169.0,14.254200
170.0,14.257700
171.0,14.263000
172.0,14.266500
173.0,14.270200
174.0,14.273600
175.0,14.276500
176.0,14.277800
177.0,14.280100
178.0,14.280600
179.0,14.282000
180.0,14.284000
181.0,14.285900
182.0,14.288600
183.0,14.291900
184.0,14.294500
185.0,14.295000
186.0,14.296900
187.0,14.299700
188.0,14.300100
189.0,14.303300
190.0,14.306400
191.0,14.307900
192.0,14.310500
193.0,14.313300
194.0,14.313900
195.0,14.316600
196.0,14.319400
197.0,14.321200
198.0,14.323100
199.0,14.327000
200.0,14.329800
201.0,14.330800
202.0,14.333200
203.0,14.337100
204.0,14.338300
205.0,14.341800
206.0,14.343300
207.0,14.344900
208.0,14.348500
209.0,14.350900
210.0,14.353000
211.0,14.356200
212.0,14.357200
213.0,14.360700
214.0,14.361700
215.0,14.364000
216.0,14.364300
217.0,14.366100
218.0,14.366800
219.0,14.369200
220.0,14.372600
221.0,14.376200
222.0,14.378200
223.0,14.379400
224.0,14.380400
225.0,14.383300
226.0,14.386100
227.0,14.387700
228.0,14.390500
229.0,14.391600
230.0,14.394200
231.0,14.396700
232.0,14.398800
233.0,14.402700
234.0,14.405800
235.0,14.406600
236.0,14.408000
237.0,14.410500
238.0,14.413200
239.0,14.415400
240.0,14.416600
241.0,14.418200
242.0,14.421000
243.0,14.423100
244.0,14.426200
245.0,14.427200
246.0,14.429000
247.0,14.430800
248.0,14.432000
249.0,14.434100
250.0,14.435000
251.0,14.436700
252.0,14.439400
253.0,14.440100
254.0,14.441800
255.0,14.443900
256.0,14.445500
257.0,14.447500
258.0,14.449700
259.0,14.451300
260.0,14.452800
261.0,14.454400
262.0,14.455300
263.0,14.455700
264.0,14.457800
265.0,14.460100
266.0,14.462300
267.0,14.464200
268.0,14.465200
269.0,14.468000
270.0,14.469200
271.0,14.470800
272.0,14.472400
273.0,14.472900
274.0,14.473900
275.0,14.474500
276.0,14.475700
277.0,14.476500
278.0,14.477900
279.0,14.480100
280.0,14.481900
281.0,14.482700
282.0,14.483900
283.0,14.485800
284.0,14.487100
285.0,14.490000
286.0,14.491000
287.0,14.494300
288.0,14.496400
289.0,14.498000
290.0,14.498600
291.0,14.500000
292.0,14.501000
293.0,14.501900
294.0,14.504100
295.0,14.505300
296.0,14.506000
297.0,14.507100
298.0,14.508000
299.0,14.509600
300.0,14.511300
301.0,14.512700
302.0,14.513800
303.0,14.515600
304.0,14.515800
305.0,14.516300
306.0,14.517200
307.0,14.518300
308.0,14.519300
309.0,14.519600
310.0,14.520700
311.0,14.522700
312.0,14.524100
313.0,14.526300
314.0,14.526600
315.0,14.528000
316.0,14.529100
317.0,14.530700
318.0,14.533100
319.0,14.534100
320.0,14.534900
321.0,14.536200
322.0,14.537600
323.0,14.538400
324.0,14.539600
325.0,14.540200
326.0,14.540000
327.0,14.540900
328.0,14.543100
329.0,14.542500
330.0,14.541800
331.0,14.543100
332.0,14.543900
333.0,14.545300
334.0,14.546100
335.0,14.547200
336.0,14.549600
337.0,14.549900
338.0,14.551400
339.0,14.552600
340.0,14.553500
341.0,14.554600
342.0,14.555400
343.0,14.556800
344.0,14.557500
345.0,14.558100
346.0,14.558700
347.0,14.559600
348.0,14.561500
349.0,14.562100
350.0,14.563300
351.0,14.565300
352.0,14.566500
353.0,14.567500
354.0,14.568600
355.0,14.569500
356.0,14.570800
357.0,14.571900
358.0,14.573000
359.0,14.573600
360.0,14.573800
361.0,14.575300
362.0,14.575800
363.0,14.577400
364.0,14.578600
365.0,14.580600
366.0,14.581000
367.0,14.582600
368.0,14.583300
369.0,14.583200
370.0,14.584500
371.0,14.586300
372.0,14.587500
373.0,14.588300
374.0,14.589700
375.0,14.591600
376.0,14.593000
377.0,14.593900
378.0,14.594300
379.0,14.595000
380.0,14.596400
381.0,14.598300
382.0,14.597700
383.0,14.599500
384.0,14.600100
385.0,14.600700
386.0,14.601700
387.0,14.602200
