# time step,rewards
1.0,15.120000
2.0,14.990000
3.0,14.146700
4.0,13.125000
5.0,12.506000
6.0,12.901700
7.0,13.161400
8.0,12.866300
9.0,13.036700
10.0,13.045000
11.0,13.065500
12.0,13.112500
13.0,13.144600
14.0,13.177100
15.0,13.182000
16.0,13.176900
17.0,13.169400
18.0,13.195600
19.0,13.217400
20.0,13.239000
21.0,13.224300
22.0,13.199100
23.0,13.163000
24.0,13.133300
25.0,13.125600
26.0,13.130800
27.0,13.158900
28.0,13.184300
29.0,13.181700
30.0,13.177300
31.0,13.159000
32.0,13.146300
33.0,13.128800
34.0,13.124700
35.0,13.127400
36.0,13.142800
37.0,13.168100
38.0,13.190800
39.0,13.209000
40.0,13.222500
41.0,13.229300
42.0,13.226700
43.0,13.219300
44.0,13.220700
45.0,13.212900
46.0,13.195000
47.0,13.188100
48.0,13.189200
49.0,13.184100
50.0,13.182600
51.0,13.197100
52.0,13.209600
53.0,13.218900
54.0,13.228000
55.0,13.237100
56.0,13.253400
57.0,13.261600
58.0,13.268600
59.0,13.270700
60.0,13.262000
61.0,13.260500
62.0,13.260200
63.0,13.256800
64.0,13.257700
65.0,13.259200
66.0,13.261200
67.0,13.264300
68.0,13.266000
69.0,13.269100
70.0,13.279000
71.0,13.290600
72.0,13.298500
73.0,13.303700
74.0,13.303000
75.0,13.304500
76.0,13.303400
77.0,13.301700
78.0,13.306500
79.0,13.303900
80.0,13.309600
81.0,13.316300
82.0,13.318900
83.0,13.322300
84.0,13.325100
85.0,13.332900
86.0,13.340800
87.0,13.346100
88.0,13.353800
89.0,13.359300
90.0,13.367400
91.0,13.369800
92.0,13.373300
93.0,13.373200
94.0,13.373700
95.0,13.370700
96.0,13.368400
97.0,13.365300
98.0,13.368400
99.0,13.371700
100.0,13.369100
101.0,13.365700
102.0,13.367000
103.0,13.371800
104.0,13.373800
105.0,13.377100
106.0,13.382800
107.0,13.391100
108.0,13.397400
109.0,13.401600
110.0,13.408200
111.0,13.409500
112.0,13.410100
113.0,13.409200
114.0,13.409800
115.0,13.413600
116.0,13.419100
117.0,13.422500
118.0,13.423100
119.0,13.427800
120.0,13.432600
121.0,13.435500
122.0,13.437800
123.0,13.441700
124.0,13.444500
125.0,13.443400
126.0,13.439700
127.0,13.437500
128.0,13.438300
129.0,13.438900
130.0,13.440100
131.0,13.440200
132.0,13.441100
133.0,13.445300
134.0,13.448700
135.0,13.450700
136.0,13.452100
137.0,13.452200
138.0,13.454900
139.0,13.456100
140.0,13.459500
141.0,13.461800
142.0,13.460100
143.0,13.462900
144.0,13.463600
145.0,13.467100
146.0,13.468800
147.0,13.470300
148.0,13.472800
149.0,13.473300
150.0,13.477700
151.0,13.477500
152.0,13.477400
153.0,13.479400
154.0,13.482300
155.0,13.484800
156.0,13.486700
157.0,13.489000
158.0,13.491600
159.0,13.493000
160.0,13.493200
161.0,13.496300
162.0,13.498400
163.0,13.500200
164.0,13.501000
165.0,13.502400
166.0,13.505000
167.0,13.506800
168.0,13.509000
169.0,13.508800
170.0,13.509200
171.0,13.510200
172.0,13.510200
173.0,13.511200
174.0,13.512600
175.0,13.512600
176.0,13.512500
177.0,13.513100
178.0,13.516100
179.0,13.519400
180.0,13.521400
181.0,13.525500
182.0,13.526300
183.0,13.527800
184.0,13.529500
185.0,13.531700
186.0,13.534100
187.0,13.536100
188.0,13.540500
189.0,13.542100
190.0,13.542200
191.0,13.544900
192.0,13.548000
193.0,13.550700
194.0,13.553700
195.0,13.555000
196.0,13.557900
197.0,13.559500
198.0,13.558000
199.0,13.558100
200.0,13.559000
201.0,13.560100
202.0,13.561300
203.0,13.563900
204.0,13.564000
205.0,13.564900
206.0,13.564600
207.0,13.565300
208.0,13.567300
209.0,13.568500
210.0,13.569300
211.0,13.571200
212.0,13.572100
213.0,13.572500
214.0,13.574300
215.0,13.576500
216.0,13.577600
217.0,13.579800
218.0,13.581800
219.0,13.585000
220.0,13.586900
221.0,13.587500
222.0,13.589100
223.0,13.591200
224.0,13.592500
225.0,13.592400
226.0,13.593100
227.0,13.594100
228.0,13.595100
229.0,13.596100
230.0,13.597000
231.0,13.598200
232.0,13.600000
233.0,13.601100
234.0,13.601200
235.0,13.603300
236.0,13.605800
237.0,13.606500
238.0,13.607600
239.0,13.610300
240.0,13.612400
241.0,13.613300
242.0,13.615200
243.0,13.617200
244.0,13.619900
245.0,13.622000
246.0,13.622500
247.0,13.624800
248.0,13.626300
249.0,13.627200
250.0,13.628700
251.0,13.630400
252.0,13.632400
253.0,13.633600
254.0,13.635000
255.0,13.636200
256.0,13.637500
257.0,13.639800
258.0,13.641600
259.0,13.644300
260.0,13.646600
261.0,13.647400
262.0,13.648600
263.0,13.651000
264.0,13.652200
265.0,13.654600
266.0,13.655500
267.0,13.656700
268.0,13.658200
269.0,13.659100
270.0,13.660500
271.0,13.662000
272.0,13.664200
273.0,13.665800
274.0,13.666400
275.0,13.666500
276.0,13.665900
277.0,13.667000
278.0,13.668700
279.0,13.669200
280.0,13.670600
281.0,13.672200
282.0,13.671800
283.0,13.673800
284.0,13.675700
285.0,13.679500
286.0,13.681300
287.0,13.682300
288.0,13.683800
289.0,13.684900
290.0,13.686900
291.0,13.687800
292.0,13.689800
293.0,13.692600
294.0,13.694000
295.0,13.694100
296.0,13.694800
297.0,13.695500
298.0,13.698200
299.0,13.699400
300.0,13.700700
301.0,13.702300
302.0,13.702600
303.0,13.703600
304.0,13.705000
305.0,13.705200
306.0,13.705800
307.0,13.706200
308.0,13.707700
309.0,13.709200
310.0,13.711100
311.0,13.712100
312.0,13.713100
313.0,13.714400
314.0,13.716000
315.0,13.716700
316.0,13.718400
317.0,13.720600
318.0,13.722200
319.0,13.723100
320.0,13.724400
321.0,13.725800
322.0,13.727700
323.0,13.728500
324.0,13.729800
325.0,13.731900
326.0,13.733300
327.0,13.734400
328.0,13.735700
329.0,13.736700
330.0,13.738300
331.0,13.740200
332.0,13.740900
333.0,13.741100
334.0,13.742800
335.0,13.744300
336.0,13.745500
337.0,13.747800
338.0,13.749100
339.0,13.751100
340.0,13.751900
341.0,13.753100
342.0,13.754500
343.0,13.755700
344.0,13.757300
345.0,13.757400
346.0,13.757600
347.0,13.758400
348.0,13.759900
349.0,13.761900
350.0,13.762800
351.0,13.763700
352.0,13.764700
353.0,13.766900
354.0,13.768100
355.0,13.768000
356.0,13.769700
357.0,13.771000
358.0,13.772200
359.0,13.773500
360.0,13.775100
361.0,13.776100
362.0,13.777200
363.0,13.777600
364.0,13.778400
365.0,13.779500
366.0,13.779600
367.0,13.781000
368.0,13.781700
369.0,13.782800
370.0,13.784600
371.0,13.785000
372.0,13.785700
373.0,13.786100
374.0,13.786300
375.0,13.785800
376.0,13.787800
377.0,13.789000
378.0,13.790000
379.0,13.791200
380.0,13.791900
381.0,13.793300
382.0,13.794200
383.0,13.795500
384.0,13.797000
385.0,13.798200
386.0,13.800000
387.0,13.801000
388.0,13.801900
389.0,13.803700
390.0,13.804000
391.0,13.805900
392.0,13.807200
393.0,13.808400
394.0,13.809700
395.0,13.810200
396.0,13.810900
397.0,13.812700
398.0,13.813700
399.0,13.813800
400.0,13.815300
401.0,13.815600
402.0,13.817100
403.0,13.818500
404.0,13.818000
405.0,13.819200
406.0,13.820800
407.0,13.822200
408.0,13.822900
409.0,13.823800
410.0,13.825100
411.0,13.826300
412.0,13.827600
413.0,13.828900
414.0,13.829400
415.0,13.830900
416.0,13.831700
417.0,13.832500
418.0,13.834800
419.0,13.836600
420.0,13.838000
421.0,13.839600
422.0,13.840000
423.0,13.840700
424.0,13.841700
425.0,13.842300
426.0,13.843300
427.0,13.844400
428.0,13.844600
429.0,13.845600
430.0,13.846700
431.0,13.847500
432.0,13.848600
433.0,13.849400
434.0,13.850500
435.0,13.851100
436.0,13.851000
437.0,13.851400
438.0,13.851800
439.0,13.853200
440.0,13.854800
441.0,13.855300
442.0,13.855700
443.0,13.856600
444.0,13.857500
445.0,13.857000
446.0,13.858500
447.0,13.859800
448.0,13.861300
449.0,13.862800
450.0,13.863200
451.0,13.864600
452.0,13.865500
453.0,13.866200
454.0,13.867200
455.0,13.868200
456.0,13.868700
457.0,13.869300
458.0,13.870500
459.0,13.871800
460.0,13.872800
461.0,13.873900
462.0,13.875200
463.0,13.876200
464.0,13.876900
465.0,13.877800
466.0,13.878900
467.0,13.880000
468.0,13.881000
469.0,13.882200
470.0,13.883000
471.0,13.883800
472.0,13.884300
473.0,13.885100
474.0,13.886000
475.0,13.886500
476.0,13.886800
477.0,13.887500
478.0,13.888300
479.0,13.888700
480.0,13.890500
481.0,13.891700
482.0,13.892700
483.0,13.893400
484.0,13.894600
485.0,13.894800
486.0,13.895400
487.0,13.895600
488.0,13.897200
489.0,13.897300
490.0,13.898300
491.0,13.897900
492.0,13.898500
493.0,13.898800
494.0,13.899700
495.0,13.901500
496.0,13.902300
497.0,13.902700
498.0,13.903700
499.0,13.904200
500.0,13.905400
501.0,13.905800
502.0,13.907100
503.0,13.908000
504.0,13.908500
505.0,13.909600
506.0,13.910100
507.0,13.910300
508.0,13.911300
509.0,13.911800
510.0,13.912100
511.0,13.912200
512.0,13.912800
513.0,13.912700
514.0,13.913100
515.0,13.914000
516.0,13.914400
517.0,13.915400
518.0,13.916600
519.0,13.917200
520.0,13.916900
521.0,13.916900
522.0,13.918100
523.0,13.919200
524.0,13.920200
525.0,13.920700
526.0,13.921200
527.0,13.922200
528.0,13.922400
529.0,13.923100
530.0,13.924300
531.0,13.925300
532.0,13.926200
533.0,13.927400
534.0,13.928500
535.0,13.929700
536.0,13.929500
537.0,13.930200
538.0,13.931000
539.0,13.932300
540.0,13.933500
541.0,13.933900
542.0,13.934300
543.0,13.935200
544.0,13.936700
545.0,13.937800
546.0,13.938500
547.0,13.939200
548.0,13.939800
549.0,13.940500
550.0,13.941300
551.0,13.942200
552.0,13.942500
553.0,13.942600
554.0,13.943000
555.0,13.943500
556.0,13.944000
557.0,13.944500
558.0,13.944600
559.0,13.944900
560.0,13.945300
561.0,13.946000
562.0,13.946900
563.0,13.947700
564.0,13.948500
565.0,13.949000
566.0,13.949800
567.0,13.951400
568.0,13.952300
569.0,13.953200
570.0,13.954400
571.0,13.954900
