# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,19.610000,0.170000,0.290000
2.0,19.640000,0.165000,0.235000
3.0,19.646700,0.200000,0.210000
4.0,19.660000,0.202500,0.205000
5.0,19.668000,0.216000,0.212000
6.0,19.666700,0.218300,0.198300
7.0,19.682900,0.210000,0.198600
8.0,19.688700,0.208700,0.198800
9.0,19.693300,0.207800,0.202200
10.0,19.682000,0.212000,0.202000
11.0,19.683600,0.210900,0.197300
12.0,19.690800,0.208300,0.205800
13.0,19.684600,0.210800,0.203100
14.0,19.686400,0.210000,0.203600
15.0,19.672700,0.215300,0.200700
16.0,19.680000,0.210000,0.197500
17.0,19.685300,0.205900,0.197600
18.0,19.687200,0.206700,0.196700
19.0,19.694700,0.200500,0.199500
20.0,19.703500,0.196500,0.201000
21.0,19.707100,0.193300,0.205700
22.0,19.710000,0.191400,0.203600
23.0,19.712600,0.189100,0.202200
24.0,19.717100,0.186700,0.199600
25.0,19.719600,0.183600,0.196800
26.0,19.721500,0.182300,0.195800
27.0,19.727400,0.178900,0.192600
28.0,19.729300,0.176800,0.193600
29.0,19.735500,0.173100,0.192100
30.0,19.736700,0.171000,0.193000
31.0,19.743500,0.166800,0.194800
32.0,19.749100,0.163400,0.196600
33.0,19.751800,0.161500,0.195800
34.0,19.757600,0.159100,0.194700
35.0,19.760600,0.156900,0.194000
36.0,19.761100,0.155800,0.195000
37.0,19.765700,0.153200,0.194300
38.0,19.770800,0.150300,0.193900
39.0,19.776700,0.146400,0.194900
40.0,19.780300,0.143700,0.195500
41.0,19.783900,0.141200,0.194600
42.0,19.787600,0.138800,0.194300
43.0,19.789800,0.136700,0.193700
44.0,19.793600,0.134100,0.192500
45.0,19.795800,0.132700,0.194000
46.0,19.799300,0.130400,0.193900
47.0,19.802300,0.128700,0.193200
48.0,19.805200,0.127300,0.193100
49.0,19.806500,0.126300,0.192000
50.0,19.809600,0.124200,0.192400
51.0,19.812700,0.122200,0.194100
52.0,19.816200,0.120200,0.195200
53.0,19.817400,0.119800,0.194300
54.0,19.820200,0.118100,0.194400
55.0,19.821500,0.117500,0.193500
56.0,19.824600,0.115500,0.192900
57.0,19.827700,0.113500,0.193000
58.0,19.830000,0.112200,0.192800
59.0,19.832500,0.110500,0.193600
60.0,19.834300,0.109300,0.193500
61.0,19.836100,0.108200,0.193000
62.0,19.838400,0.106600,0.192400
63.0,19.840600,0.105200,0.191400
64.0,19.841600,0.104400,0.190800
65.0,19.843100,0.103200,0.191500
66.0,19.845000,0.102300,0.191400
67.0,19.847200,0.100900,0.191600
68.0,19.849100,0.099600,0.192100
69.0,19.851300,0.098100,0.191900
70.0,19.852000,0.097300,0.191700
71.0,19.853200,0.097200,0.192300
72.0,19.854400,0.096400,0.191500
73.0,19.856300,0.095200,0.191500
74.0,19.858000,0.094100,0.191200
75.0,19.859700,0.092900,0.191300
76.0,19.861200,0.092000,0.191100
77.0,19.862700,0.090900,0.191300
78.0,19.864100,0.089900,0.191500
79.0,19.865400,0.089000,0.190400
80.0,19.866700,0.088200,0.190600
81.0,19.868400,0.087300,0.190900
82.0,19.869600,0.086600,0.190200
83.0,19.870800,0.085700,0.191100
84.0,19.871400,0.084900,0.190800
85.0,19.872100,0.084600,0.191300
86.0,19.872600,0.084400,0.190300
87.0,19.874000,0.083400,0.190500
88.0,19.875300,0.082600,0.189900
89.0,19.876500,0.082000,0.189300
90.0,19.877700,0.081700,0.189800
91.0,19.878900,0.080900,0.189900
92.0,19.879600,0.080500,0.189900
93.0,19.880400,0.080100,0.189800
94.0,19.881200,0.079600,0.189700
95.0,19.882200,0.078800,0.189800
96.0,19.882600,0.078800,0.189900
97.0,19.883500,0.078000,0.190200
98.0,19.884400,0.077600,0.190000
99.0,19.885600,0.076900,0.190300
100.0,19.886700,0.076100,0.190300
101.0,19.887700,0.075400,0.190500
102.0,19.888400,0.074900,0.190600
103.0,19.888600,0.074700,0.190700
104.0,19.888900,0.074500,0.190500
105.0,19.889800,0.073900,0.191300
106.0,19.889800,0.073700,0.190800
107.0,19.890600,0.073200,0.190600
108.0,19.891500,0.072600,0.190900
109.0,19.892500,0.072000,0.190800
110.0,19.893300,0.071600,0.190700
111.0,19.893500,0.071400,0.190700
112.0,19.894300,0.070900,0.191400
113.0,19.894600,0.070400,0.192000
114.0,19.895000,0.070200,0.191100
115.0,19.895300,0.069800,0.191600
116.0,19.895900,0.069400,0.192000
117.0,19.896700,0.069000,0.192200
118.0,19.897300,0.068600,0.192500
119.0,19.898000,0.068200,0.192400
120.0,19.898800,0.067800,0.192700
121.0,19.899500,0.067300,0.192600
122.0,19.899900,0.067000,0.193300
123.0,19.900700,0.066600,0.193200
124.0,19.901400,0.066200,0.193200
125.0,19.902000,0.065900,0.193800
126.0,19.902800,0.065400,0.194000
127.0,19.903500,0.065000,0.193900
128.0,19.904200,0.064500,0.193800
129.0,19.904900,0.064000,0.193800
130.0,19.905600,0.063600,0.193200
131.0,19.906000,0.063400,0.193100
132.0,19.906400,0.063000,0.193200
133.0,19.907000,0.062600,0.193200
134.0,19.907500,0.062200,0.193300
135.0,19.907700,0.061900,0.193300
136.0,19.908000,0.061500,0.193500
137.0,19.908700,0.061200,0.193400
138.0,19.909300,0.060700,0.193400
139.0,19.910000,0.060300,0.193200
140.0,19.910400,0.060100,0.193600
141.0,19.911100,0.059600,0.193500
142.0,19.911300,0.059400,0.193700
143.0,19.912000,0.059000,0.193600
144.0,19.912400,0.058700,0.193300
145.0,19.912800,0.058500,0.193400
146.0,19.913400,0.058100,0.193200
147.0,19.913900,0.057800,0.193700
148.0,19.914500,0.057400,0.194000
149.0,19.914900,0.057200,0.193500
150.0,19.915000,0.057000,0.193600
151.0,19.914900,0.056900,0.193700
152.0,19.915500,0.056500,0.193900
153.0,19.915400,0.056500,0.194100
154.0,19.915800,0.056200,0.194000
155.0,19.916300,0.055900,0.194000
156.0,19.916600,0.055800,0.194100
157.0,19.917000,0.055600,0.194500
158.0,19.917500,0.055300,0.194300
159.0,19.917900,0.055000,0.194100
160.0,19.918300,0.054700,0.194800
161.0,19.918400,0.054500,0.194500
162.0,19.918300,0.054400,0.194300
163.0,19.918500,0.054200,0.194200
164.0,19.918900,0.053900,0.194600
165.0,19.919400,0.053600,0.194500
166.0,19.919800,0.053300,0.195100
167.0,19.920200,0.053200,0.194600
168.0,19.920600,0.053000,0.194800
169.0,19.920900,0.052700,0.195300
170.0,19.921200,0.052500,0.195500
171.0,19.921500,0.052300,0.195400
172.0,19.921900,0.052000,0.195100
173.0,19.922300,0.051800,0.194800
174.0,19.922600,0.051600,0.194900
175.0,19.923000,0.051300,0.194700
176.0,19.923400,0.051100,0.195200
177.0,19.923700,0.050900,0.195200
178.0,19.923800,0.050700,0.195100
179.0,19.924200,0.050600,0.195100
180.0,19.924400,0.050400,0.195200
181.0,19.924800,0.050200,0.195200
182.0,19.925100,0.050000,0.195400
183.0,19.925200,0.049900,0.195300
184.0,19.925400,0.049700,0.195100
185.0,19.925500,0.049700,0.195100
186.0,19.925700,0.049500,0.195500
187.0,19.926000,0.049300,0.195700
188.0,19.926400,0.049000,0.195600
189.0,19.926700,0.048900,0.195500
190.0,19.927100,0.048600,0.195700
191.0,19.927200,0.048500,0.195700
192.0,19.927200,0.048500,0.195600
193.0,19.927400,0.048300,0.195400
194.0,19.927700,0.048100,0.195700
195.0,19.928100,0.047900,0.195700
196.0,19.928400,0.047700,0.195300
197.0,19.928800,0.047500,0.195400
198.0,19.929000,0.047300,0.195300
