# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,14.840000,0.590000,0.800000
2.0,13.910000,0.620000,0.765000
3.0,14.040000,0.616700,0.713300
4.0,14.070000,0.620000,0.690000
5.0,14.494000,0.608000,0.664000
6.0,14.500000,0.620000,0.665000
7.0,14.508600,0.618600,0.658600
8.0,14.557500,0.621200,0.660000
9.0,14.516700,0.618900,0.653300
10.0,14.536000,0.615000,0.654000
11.0,14.569100,0.620000,0.656400
12.0,14.575000,0.628300,0.652500
13.0,14.650000,0.620800,0.657700
14.0,14.677100,0.615700,0.658600
15.0,14.612000,0.621300,0.665300
16.0,14.551900,0.622500,0.663100
17.0,14.506500,0.626500,0.663500
18.0,14.312200,0.636100,0.664400
19.0,14.235800,0.640000,0.663700
20.0,14.069500,0.645000,0.659500
21.0,13.927600,0.649500,0.660500
22.0,13.736400,0.658200,0.662700
23.0,13.549100,0.667400,0.660400
24.0,13.420400,0.673300,0.668800
25.0,13.300800,0.677600,0.666000
26.0,13.158500,0.683800,0.664600
27.0,13.037400,0.691500,0.667400
28.0,12.951100,0.694300,0.664600
29.0,12.845200,0.701000,0.669300
30.0,12.743000,0.705000,0.670000
31.0,12.647700,0.712600,0.669400
32.0,12.571900,0.717800,0.669100
33.0,12.488500,0.723000,0.665500
34.0,12.400600,0.729700,0.666800
35.0,12.315400,0.731700,0.665700
36.0,12.213600,0.736700,0.662200
37.0,12.142700,0.741900,0.663500
38.0,12.067600,0.746300,0.663900
39.0,11.972800,0.749200,0.663100
40.0,11.885700,0.753000,0.666000
41.0,11.802200,0.757100,0.665400
42.0,11.733100,0.760700,0.664000
43.0,11.685800,0.764400,0.665600
44.0,11.619800,0.768000,0.664800
45.0,11.548900,0.772400,0.663100
46.0,11.465200,0.777800,0.663500
47.0,11.385100,0.780200,0.663400
48.0,11.295000,0.783300,0.662900
49.0,11.224900,0.786300,0.662000
50.0,11.152000,0.790200,0.661400
51.0,11.086700,0.794300,0.660200
52.0,11.027700,0.796700,0.659800
53.0,10.962100,0.799600,0.660800
54.0,10.899300,0.802800,0.660600
55.0,10.855500,0.805500,0.660400
56.0,10.799100,0.807500,0.659500
57.0,10.758100,0.810400,0.660500
58.0,10.722200,0.812600,0.660700
59.0,10.672200,0.814700,0.660800
60.0,10.626800,0.817200,0.659200
61.0,10.577400,0.820800,0.658900
62.0,10.536900,0.823700,0.660600
63.0,10.479500,0.827000,0.660200
64.0,10.435000,0.828600,0.658900
65.0,10.390300,0.831100,0.659800
66.0,10.340900,0.834100,0.660200
67.0,10.282400,0.835800,0.659300
68.0,10.232200,0.839000,0.659000
69.0,10.180900,0.841400,0.660700
70.0,10.136400,0.843300,0.661300
71.0,10.094500,0.844500,0.663200
72.0,10.062900,0.846700,0.661800
73.0,10.039000,0.848100,0.661500
74.0,10.010100,0.850000,0.661400
75.0,9.988000,0.851200,0.659100
76.0,9.942900,0.852900,0.658900
77.0,9.903400,0.854700,0.657800
78.0,9.873500,0.856200,0.656900
79.0,9.838100,0.857600,0.656500
80.0,9.793600,0.859200,0.657500
81.0,9.771200,0.860600,0.657300
82.0,9.735700,0.862300,0.657100
83.0,9.697600,0.864600,0.655800
84.0,9.672100,0.866100,0.656000
85.0,9.628400,0.868600,0.655400
86.0,9.599700,0.869900,0.653800
87.0,9.564900,0.871000,0.653600
88.0,9.545000,0.873100,0.653400
89.0,9.495700,0.874700,0.652100
90.0,9.474600,0.875700,0.652100
91.0,9.430700,0.877000,0.652400
92.0,9.396300,0.878500,0.651100
93.0,9.380100,0.879700,0.651200
94.0,9.349100,0.881000,0.650600
95.0,9.330900,0.881800,0.650600
96.0,9.309600,0.882700,0.650600
97.0,9.290300,0.883700,0.650000
98.0,9.265300,0.884300,0.649300
99.0,9.239000,0.884900,0.650000
100.0,9.218700,0.886500,0.649500
101.0,9.199400,0.887600,0.649200
102.0,9.175200,0.888400,0.648800
103.0,9.150800,0.889700,0.647600
104.0,9.123000,0.890600,0.646800
105.0,9.100600,0.891900,0.647200
106.0,9.073800,0.892900,0.647300
107.0,9.058100,0.893800,0.648300
108.0,9.032400,0.894800,0.648300
109.0,9.009400,0.895400,0.648600
110.0,8.982700,0.896500,0.648900
111.0,8.960800,0.897400,0.649000
112.0,8.943700,0.898600,0.649600
113.0,8.921000,0.899700,0.648900
114.0,8.895800,0.900800,0.649000
115.0,8.882800,0.901900,0.649000
116.0,8.870200,0.903200,0.648300
117.0,8.851800,0.904300,0.649400
118.0,8.830800,0.905000,0.650400
119.0,8.809200,0.906600,0.650100
120.0,8.795800,0.907300,0.649700
121.0,8.781600,0.907600,0.649600
122.0,8.764700,0.908700,0.649800
123.0,8.746500,0.909800,0.649300
124.0,8.726300,0.910800,0.649300
125.0,8.715400,0.911800,0.650000
126.0,8.695900,0.913200,0.650300
127.0,8.680100,0.914500,0.649600
128.0,8.665600,0.915900,0.650000
129.0,8.650700,0.916700,0.651200
130.0,8.635700,0.917500,0.651400
131.0,8.614400,0.917900,0.651900
132.0,8.596300,0.918500,0.651900
133.0,8.579500,0.919600,0.652000
134.0,8.567700,0.920100,0.651300
135.0,8.556800,0.920700,0.650500
136.0,8.540200,0.921600,0.650300
137.0,8.527300,0.922600,0.649900
138.0,8.518900,0.923300,0.649900
139.0,8.495700,0.924000,0.649600
140.0,8.477700,0.924600,0.649300
141.0,8.465500,0.925500,0.648600
142.0,8.451800,0.926400,0.648700
143.0,8.433400,0.926900,0.648000
144.0,8.425100,0.927400,0.647900
145.0,8.408900,0.928600,0.648500
146.0,8.390800,0.929200,0.648200
147.0,8.372300,0.929900,0.648500
148.0,8.359900,0.930900,0.648900
149.0,8.351600,0.931500,0.649200
150.0,8.335000,0.932200,0.649500
151.0,8.319900,0.932800,0.649700
152.0,8.312600,0.933400,0.650100
153.0,8.292900,0.934100,0.649100
154.0,8.273800,0.935200,0.648800
155.0,8.257900,0.935700,0.648000
156.0,8.251600,0.936600,0.647700
157.0,8.232800,0.937300,0.648800
158.0,8.222700,0.937500,0.648900
159.0,8.212900,0.938600,0.649200
160.0,8.199100,0.938900,0.649200
161.0,8.183400,0.939600,0.648800
162.0,8.173600,0.940000,0.648300
163.0,8.165300,0.940600,0.647700
164.0,8.156900,0.941000,0.648100
165.0,8.147800,0.941500,0.648300
166.0,8.136700,0.942200,0.648200
167.0,8.125100,0.942800,0.647700
168.0,8.113700,0.943400,0.648600
169.0,8.101800,0.944200,0.648200
170.0,8.095100,0.944700,0.648400
171.0,8.084500,0.945400,0.648200
172.0,8.079500,0.946000,0.647700
173.0,8.068500,0.946600,0.647600
174.0,8.061900,0.947000,0.648000
175.0,8.050900,0.947400,0.647200
176.0,8.038100,0.947700,0.647400
177.0,8.027200,0.947700,0.647200
178.0,8.012100,0.948000,0.647100
179.0,8.002300,0.948500,0.647500
180.0,8.000400,0.949100,0.646400
181.0,7.989800,0.949400,0.646000
182.0,7.981700,0.950200,0.645700
183.0,7.968600,0.950600,0.645800
184.0,7.958000,0.951100,0.646000
185.0,7.950600,0.951500,0.645400
186.0,7.943600,0.952000,0.645500
187.0,7.933500,0.952600,0.646400
188.0,7.922200,0.953200,0.647000
189.0,7.915300,0.953800,0.646800
190.0,7.904500,0.954300,0.647200
191.0,7.897400,0.954600,0.647300
192.0,7.887200,0.955200,0.647200
193.0,7.878900,0.955800,0.646900
194.0,7.869800,0.956100,0.647500
195.0,7.859700,0.956600,0.647500
196.0,7.853900,0.957400,0.647600
197.0,7.848100,0.957600,0.647500
198.0,7.842400,0.958000,0.647600
199.0,7.833300,0.958400,0.648000
200.0,7.830800,0.959200,0.647800
201.0,7.821400,0.959700,0.647500
202.0,7.812400,0.960000,0.647100
203.0,7.808100,0.960400,0.646800
204.0,7.801000,0.960700,0.646900
205.0,7.789700,0.961200,0.646700
206.0,7.784300,0.961600,0.647300
207.0,7.776700,0.961900,0.647000
208.0,7.768500,0.962400,0.647200
209.0,7.762500,0.962800,0.647000
210.0,7.758100,0.963300,0.647000
211.0,7.747000,0.963500,0.646900
212.0,7.739700,0.963500,0.646700
213.0,7.730000,0.963700,0.646300
214.0,7.723700,0.963800,0.646700
215.0,7.718600,0.964300,0.646700
216.0,7.708900,0.964500,0.646700
217.0,7.705100,0.965000,0.646900
218.0,7.699300,0.965200,0.646800
219.0,7.693700,0.965400,0.646900
220.0,7.687500,0.965600,0.647100
221.0,7.682400,0.965800,0.646900
222.0,7.676800,0.966000,0.646600
223.0,7.669800,0.966300,0.646600
224.0,7.660200,0.966800,0.646900
225.0,7.652000,0.967100,0.647200
226.0,7.644200,0.967200,0.647100
227.0,7.637100,0.967600,0.647400
228.0,7.633600,0.967800,0.647000
229.0,7.627400,0.968300,0.647200
230.0,7.623400,0.968600,0.646900
231.0,7.621200,0.969000,0.647000
232.0,7.616000,0.969400,0.647400
233.0,7.608900,0.969700,0.647000
234.0,7.602700,0.969900,0.647100
235.0,7.595100,0.970100,0.646800
236.0,7.588600,0.970300,0.646500
237.0,7.582800,0.970400,0.647300
238.0,7.577500,0.970500,0.647100
239.0,7.571100,0.970800,0.647700
240.0,7.564700,0.971200,0.647900
241.0,7.555600,0.971500,0.648200
242.0,7.549800,0.971900,0.647900
243.0,7.541500,0.972100,0.648200
244.0,7.534800,0.972400,0.648200
245.0,7.528300,0.972700,0.648400
246.0,7.521000,0.972900,0.648700
247.0,7.515300,0.973100,0.648900
248.0,7.512300,0.973500,0.649400
249.0,7.507000,0.973900,0.649400
250.0,7.502000,0.974100,0.649700
251.0,7.499300,0.974300,0.649600
252.0,7.496800,0.974400,0.649900
253.0,7.486500,0.974500,0.650000
254.0,7.480000,0.974600,0.650400
255.0,7.474700,0.975000,0.650400
256.0,7.468000,0.975300,0.650600
257.0,7.460400,0.975600,0.650600
258.0,7.455800,0.975700,0.651100
259.0,7.448700,0.975900,0.651200
260.0,7.445700,0.976200,0.650800
261.0,7.441400,0.976400,0.650200
262.0,7.441100,0.976600,0.650300
263.0,7.437800,0.976800,0.650400
264.0,7.434400,0.977000,0.650500
265.0,7.427300,0.976900,0.650400
266.0,7.422300,0.977400,0.650600
267.0,7.416400,0.977700,0.650600
268.0,7.408700,0.977900,0.650800
269.0,7.403600,0.978100,0.650700
270.0,7.397300,0.978400,0.650900
271.0,7.391000,0.978500,0.651200
272.0,7.386200,0.978500,0.650800
273.0,7.382300,0.978700,0.650800
274.0,7.376600,0.979000,0.651000
275.0,7.369500,0.979200,0.651400
276.0,7.367000,0.979400,0.651400
277.0,7.364500,0.979600,0.651400
278.0,7.358600,0.979700,0.651400
279.0,7.351600,0.980000,0.651300
280.0,7.347900,0.980200,0.651200
281.0,7.342500,0.980400,0.651400
282.0,7.338100,0.980700,0.651400
283.0,7.336200,0.981000,0.651500
284.0,7.332800,0.981200,0.651400
285.0,7.328100,0.981500,0.651300
