# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,5.920000,1.000000,0.610000
2.0,8.475000,1.000000,0.610000
3.0,9.890000,1.000000,0.643300
4.0,11.962500,1.000000,0.635000
5.0,13.570000,0.800000,0.648000
6.0,12.113300,0.853300,0.640000
7.0,12.694300,0.832900,0.650000
8.0,12.425000,0.832500,0.667500
9.0,11.688900,0.857800,0.666700
10.0,11.648000,0.849000,0.660000
11.0,11.232700,0.860900,0.650900
12.0,10.902500,0.873300,0.655000
13.0,10.473800,0.886900,0.656200
14.0,10.077100,0.897100,0.660000
15.0,9.867300,0.909300,0.659300
16.0,9.693700,0.915000,0.652500
17.0,9.483500,0.922400,0.655300
18.0,9.315000,0.923900,0.651700
19.0,9.163700,0.930000,0.651600
20.0,9.086000,0.936500,0.648500
21.0,8.959500,0.936700,0.648100
22.0,8.865500,0.937700,0.647300
23.0,8.747000,0.939100,0.647000
24.0,8.656700,0.940400,0.649200
25.0,8.554000,0.941600,0.648800
26.0,8.498500,0.943100,0.646900
27.0,8.394100,0.944400,0.645600
28.0,8.319300,0.946100,0.642500
29.0,8.245900,0.948600,0.640700
30.0,8.170700,0.951000,0.641700
31.0,8.052600,0.953200,0.642900
32.0,7.977800,0.956600,0.644700
33.0,7.908500,0.959400,0.644800
34.0,7.847400,0.960900,0.644700
35.0,7.820600,0.962300,0.647700
36.0,7.788300,0.964200,0.645800
37.0,7.749500,0.967800,0.644600
38.0,7.676100,0.970000,0.646100
39.0,7.626400,0.973300,0.645400
40.0,7.592000,0.976200,0.645500
41.0,7.539000,0.978800,0.644400
42.0,7.491000,0.981200,0.647900
43.0,7.449800,0.981900,0.646300
44.0,7.395500,0.983400,0.645700
45.0,7.356700,0.984900,0.646700
46.0,7.332800,0.987200,0.645000
47.0,7.285700,0.987900,0.643800
48.0,7.240000,0.989200,0.646000
49.0,7.200800,0.990400,0.647300
50.0,7.162600,0.991600,0.648800
51.0,7.157500,0.992200,0.646300
52.0,7.131900,0.992900,0.644000
53.0,7.107500,0.994200,0.643600
54.0,7.085400,0.995200,0.644600
55.0,7.050900,0.996200,0.643600
56.0,7.034800,0.998400,0.643200
57.0,7.009600,0.999800,0.642800
58.0,7.000300,1.001000,0.640700
59.0,6.970800,1.001700,0.641200
60.0,6.941700,1.002500,0.642000
61.0,6.902100,1.002800,0.641600
62.0,6.894500,1.003400,0.642400
63.0,6.877100,1.005100,0.642400
64.0,6.870900,1.006700,0.642000
65.0,6.834000,1.006900,0.641700
66.0,6.805000,1.007300,0.640900
67.0,6.796400,1.007600,0.640700
68.0,6.773700,1.008200,0.641800
69.0,6.754100,1.008800,0.641600
70.0,6.743600,1.009700,0.641300
71.0,6.725400,1.010400,0.640400
72.0,6.711400,1.011200,0.639600
73.0,6.706200,1.012200,0.639700
74.0,6.686600,1.012800,0.640500
75.0,6.677700,1.014300,0.639600
76.0,6.663600,1.014700,0.638700
77.0,6.642200,1.014800,0.638100
78.0,6.625600,1.014900,0.638600
79.0,6.609700,1.015400,0.638500
80.0,6.594800,1.016000,0.637900
81.0,6.589300,1.016400,0.638600
82.0,6.581200,1.016800,0.639800
83.0,6.568700,1.017300,0.639300
84.0,6.558200,1.017700,0.637700
85.0,6.547500,1.017900,0.638200
86.0,6.540200,1.018500,0.638000
87.0,6.532600,1.018900,0.638500
88.0,6.521500,1.019400,0.639000
89.0,6.510800,1.019700,0.639800
90.0,6.499000,1.020100,0.640200
91.0,6.493800,1.020500,0.642000
92.0,6.483900,1.021100,0.641500
93.0,6.475400,1.021700,0.641800
94.0,6.471200,1.022100,0.642100
95.0,6.460900,1.022300,0.641800
96.0,6.457300,1.023000,0.642400
97.0,6.444200,1.023500,0.642100
98.0,6.437100,1.023900,0.642000
99.0,6.426800,1.024100,0.642300
100.0,6.420300,1.024500,0.642300
101.0,6.404600,1.024600,0.642000
102.0,6.401200,1.025300,0.641600
103.0,6.397100,1.025800,0.641500
104.0,6.391900,1.026300,0.642300
105.0,6.389800,1.026600,0.641600
106.0,6.382700,1.026900,0.642300
107.0,6.372900,1.027000,0.642300
108.0,6.366000,1.027200,0.642300
109.0,6.365100,1.027500,0.642400
110.0,6.359900,1.027500,0.642000
111.0,6.354800,1.028200,0.641700
112.0,6.342100,1.028600,0.642600
113.0,6.336300,1.028800,0.642600
114.0,6.334100,1.029200,0.642700
115.0,6.328500,1.029600,0.641700
116.0,6.317700,1.029800,0.641800
117.0,6.316000,1.030100,0.641700
118.0,6.316600,1.030500,0.641100
119.0,6.312400,1.030700,0.641400
120.0,6.306700,1.030800,0.641500
121.0,6.298000,1.031000,0.640900
122.0,6.290200,1.031100,0.641500
123.0,6.286000,1.031400,0.641300
124.0,6.283800,1.031900,0.640500
125.0,6.281000,1.032000,0.640200
126.0,6.283600,1.032300,0.640300
127.0,6.284300,1.032700,0.639800
128.0,6.283200,1.033000,0.639900
129.0,6.278300,1.033300,0.639900
130.0,6.270600,1.033200,0.640300
131.0,6.269100,1.033700,0.639800
132.0,6.254800,1.033700,0.639300
133.0,6.243500,1.033700,0.639600
134.0,6.247800,1.034400,0.640000
135.0,6.242300,1.034400,0.640300
136.0,6.243000,1.034800,0.640400
137.0,6.245400,1.035200,0.640100
138.0,6.239100,1.035300,0.640000
139.0,6.235400,1.035400,0.639400
140.0,6.234900,1.035400,0.639900
141.0,6.230500,1.035500,0.639900
142.0,6.225500,1.035600,0.639700
143.0,6.221000,1.035800,0.639400
144.0,6.219900,1.036000,0.639300
145.0,6.212800,1.036300,0.639000
146.0,6.209300,1.036400,0.638900
147.0,6.203500,1.036800,0.638700
148.0,6.203300,1.037200,0.639100
149.0,6.194000,1.037300,0.639400
150.0,6.189300,1.037300,0.639500
151.0,6.192500,1.037900,0.639300
152.0,6.183600,1.037800,0.639500
153.0,6.179300,1.037800,0.639700
154.0,6.174500,1.037700,0.640100
155.0,6.166500,1.037700,0.640100
156.0,6.163500,1.037900,0.640400
157.0,6.163600,1.038300,0.640700
158.0,6.162700,1.038600,0.640100
159.0,6.160300,1.038800,0.641400
160.0,6.153500,1.038700,0.641400
161.0,6.150200,1.039000,0.641200
162.0,6.146400,1.039000,0.640900
163.0,6.142600,1.039300,0.640900
164.0,6.137400,1.039400,0.641200
165.0,6.138800,1.039800,0.640800
166.0,6.133500,1.039800,0.640800
167.0,6.133300,1.039800,0.641000
168.0,6.131300,1.039800,0.641200
169.0,6.126300,1.040000,0.641700
170.0,6.119500,1.039900,0.642200
171.0,6.111100,1.039900,0.641800
172.0,6.111300,1.040200,0.641500
173.0,6.109500,1.040300,0.641600
174.0,6.113800,1.040700,0.641700
175.0,6.113900,1.040900,0.641500
176.0,6.115300,1.041300,0.641100
177.0,6.115000,1.041200,0.641200
178.0,6.113300,1.041400,0.641200
179.0,6.108600,1.041300,0.640800
180.0,6.107500,1.041400,0.640300
181.0,6.101000,1.041300,0.640800
182.0,6.098800,1.041500,0.641300
183.0,6.097700,1.041600,0.640700
184.0,6.097400,1.041600,0.640800
185.0,6.097400,1.042000,0.641100
186.0,6.098500,1.042200,0.641300
187.0,6.097000,1.042200,0.640900
188.0,6.098500,1.042300,0.640900
189.0,6.095100,1.042200,0.641000
190.0,6.090800,1.042300,0.641200
191.0,6.093500,1.042400,0.640800
192.0,6.088200,1.042300,0.641200
193.0,6.089700,1.042400,0.641200
194.0,6.086500,1.042400,0.641400
195.0,6.083700,1.042400,0.641400
196.0,6.085100,1.042600,0.641300
197.0,6.083300,1.042800,0.641100
198.0,6.084500,1.042900,0.640800
199.0,6.084600,1.043200,0.641000
200.0,6.080900,1.043300,0.641100
201.0,6.082500,1.043400,0.640600
202.0,6.082100,1.043700,0.641300
203.0,6.080500,1.043700,0.640900
204.0,6.080100,1.043800,0.640800
205.0,6.074800,1.043700,0.640300
206.0,6.067300,1.043600,0.640000
207.0,6.065900,1.043800,0.640000
208.0,6.067500,1.044000,0.640000
209.0,6.065400,1.044100,0.639900
210.0,6.064500,1.044000,0.639800
211.0,6.063600,1.043900,0.639800
212.0,6.059000,1.044000,0.640000
213.0,6.056400,1.044200,0.640000
214.0,6.057400,1.044800,0.640200
215.0,6.055500,1.044900,0.640300
216.0,6.052000,1.045000,0.639800
217.0,6.047700,1.045000,0.639900
218.0,6.041400,1.045000,0.640300
219.0,6.037300,1.045100,0.640200
220.0,6.031200,1.045100,0.640500
221.0,6.030700,1.045400,0.640300
222.0,6.025800,1.045400,0.639900
223.0,6.024900,1.045300,0.639600
224.0,6.022900,1.045400,0.639600
225.0,6.021000,1.045600,0.640000
226.0,6.020300,1.046000,0.640400
227.0,6.021700,1.046100,0.640200
228.0,6.022000,1.046100,0.640200
229.0,6.020800,1.046200,0.640100
230.0,6.018100,1.046100,0.640200
231.0,6.015000,1.046200,0.640100
232.0,6.014800,1.046300,0.640300
233.0,6.010300,1.046100,0.640700
234.0,6.009200,1.046100,0.640800
235.0,6.007500,1.046000,0.640900
236.0,6.005800,1.046000,0.641100
237.0,6.004300,1.046100,0.641000
238.0,6.004400,1.046200,0.640700
239.0,6.003400,1.046400,0.640500
240.0,5.999800,1.046400,0.640300
241.0,5.996800,1.046300,0.640000
242.0,5.993100,1.046400,0.640100
243.0,5.987900,1.046500,0.639800
244.0,5.985200,1.046600,0.640100
245.0,5.983200,1.046700,0.640300
